Date	Score	Set 1	Set 2	Set 3	Set 4	Set 5	Total
May 23	2-3	25-20	25-18	22-25	29-31	13-15	114 - 109
May 24	1-3	25-20	21-25	16-25	18-25	NA	80 - 95
May 25	3-0	25-19	32-30	25-15	NA	NA	82 - 64
May 25	3-1	25-23	20-25	32-30	25-22	NA	102 - 100
May 30	3-2	26-24	23-25	25-22	18-25	15-13	107 - 109
May 31	3-0	25-22	25-16	25-20	NA	NA	75 - 58
Jun 1	3-2	19-25	18-25	25-19	25-21	15-12	102 - 102
Jun 1	2-3	28-26	23-25	20-25	26-24	09-15	106 - 115
Jun 6	1-3	25-22	23-25	21-25	20-25	NA	89 - 97
Jun 7	2-3	22-25	24-26	25-20	25-21	12-15	108 - 107
Jun 6	2-3	25-21	21-25	25-17	17-25	11-15	99 - 103
Jun 7	1-3	20-25	26-24	23-25	21-25	NA	90 - 99
Jun 13	3-0	25-22	25-18	25-18	NA	NA	75 - 58
Jun 13	3-0	25-19	25-17	25-19	NA	NA	75 - 55
Jun 15	2-3	22-25	21-25	25-19	25-20	09-15	102 - 104
Jun 15	3-0	25-16	25-13	25-18	NA	NA	75 - 47
Jun 20	3-1	23-25	25-20	25-21	25-22	NA	98 - 88
Jun 21	3-2	14-25	25-23	25-22	20-25	15-11	99 - 106
Jun 20	3-0	25-18	25-23	25-19	NA	NA	75 - 60
Jun 21	1-3	19-25	19-25	25-16	23-25	NA	86 - 91
Jun 27	3-0	27-25	25-17	25-23	NA	NA	77 - 65
Jun 27	1-3	20-25	25-22	19-25	13-25	NA	77 - 97
Jun 28	3-1	34-32	23-25	25-20	25-18	NA	107 - 95
Jun 28	3-1	25-20	17-25	25-23	25-22	NA	92 - 90
