Rank	Team	Run 1	Run 2	Run 3	Final
Gold	Germany (GER) Germany I	1:16.84	1:17.57	1:16.55	5:07.84
Silver	United States (USA) USA I	1:17.44	1:17.78	1:16.72	5:10.48
Bronze	Switzerland (SUI) Switzerland I	1:18.67	1:18.08	1:17.40	5:11.70
4	Switzerland (SUI) Switzerland II	1:17.75	1:19.45	1:17.88	5:13.98
5	Austria (AUT) Austria I	1:19.34	1:18.91	1:18.27	5:14.74
6	Sweden (SWE) Sweden I	1:19.11	1:19.90	1:17.28	5:15.01
7	Sweden (SWE) Sweden II	1:18.84	1:19.93	1:18.66	5:17.86
8	Argentina (ARG) Argentina I	1:20.15	1:19.81	1:19.35	5:18.85
9	United States (USA) USA II	1:19.13	1:19.97	1:19.49	5:19.68
10	Italy (ITA) Italy II	1:20.02	1:21.39	1:18.86	5:19.62
11	France (FRA) France I	1:18.90	1:19.91	1:19.18	5:20.74
12	Norway (NOR) Norway I	1:20.05	1:19.93	1:19.98	5:21.36
13	Norway (NOR) Norway II	1:21.53	1:21.18	1:20.77	5:24.47
14	Italy (ITA) Italy II	1:21.23	1:21.35	1:21.64	5:25.98
DNF	Austria (AUT) Austria II	1:19.51	1:20.25	1:20.44	DNF
