Date	Score	Set 1	Set 2	Set 3	Set 4	Set 5	Total
Jun 11	2-3	16-25	25-22	25-22	14-25	12-15	92 - 109
Jun 12	1-3	34-36	26-28	25-20	21-25	NA	106 - 109
Jun 13	0-3	23-25	22-25	10-25	NA	NA	55 - 75
Jun 13	1-3	21-25	25-22	17-25	20-25	NA	83 - 97
Jun 19	3-2	25-21	23-25	20-25	26-24	24-22	118 - 117
Jun 19	1-3	21-25	14-25	25-22	22-25	NA	82 - 97
Jun 20	1-3	14-25	25-19	23-25	24-26	NA	86 - 95
Jun 20	1-3	23-25	25-19	22-25	20-25	NA	90 - 94
Jun 25	3-1	25-15	16-25	25-22	25-21	NA	91 - 83
Jun 26	0-3	22-25	12-25	15-25	NA	NA	49 - 75
Jun 27	3-2	25-22	25-16	20-25	26-28	15-10	111 - 101
Jun 27	3-2	13-25	20-25	27-25	25-22	15-13	100 - 110
Jun 2	3-0	25-19	25-11	25-19	NA	NA	75 - 49
Jun 2	1-3	19-25	25-16	23-25	21-25	NA	88 - 91
Jun 3	3-0	25-22	25-23	25-23	NA	NA	75 - 68
Jun 3	1-3	17-25	25-23	21-25	28-30	NA	91 - 103
Jun 9	3-0	25-20	25-18	25-23	NA	NA	75 - 61
Jun 9	3-2	25-20	25-23	23-25	22-25	15-12	110 - 105
Jun 10	3-2	21-25	25-16	25-21	22-25	15-10	108 - 97
Jun 10	3-0	32-30	25-15	25-16	NA	NA	82 - 61
Jun 15	3-1	25-23	25-18	21-25	25-19	NA	96 - 85
Jun 16	3-0	25-18	26-24	25-21	NA	NA	76 - 63
Jun 17	3-1	25-07	25-19	19-25	25-13	NA	94 - 64
Jun 17	3-0	25-17	29-27	25-17	NA	NA	79 - 61
