Week 1	Week 2	Week 3	Week 4	Week 5
Jennifer Nahra	Lana Kinear	Shamron Moore*	Terri Lynn Farrow	[Month Ended]
Mimi Wills	Alicia Burley **	Marz Hook	Madison Marie	[Month Ended]
Iliana Fischer	Brianne Bailey	Danielle Devon	Nancie Tyler Le*	Hazell Serrano
Erin Nicole	Gabriella Broder	Tiffany Lang*	Natasha Kozakova	[Month Ended]
Jessica Renee*	Marina Semenova	Rose Marie	Erin Fiedler	[Month Ended]
Rebecca DiPietro	Kristin Kerry	Jackie Bean*	Nicole Woodruff	Karouna Kay Sivilay
Alix Agar	Kristin Novak*	Sunisa Kim	Lisa Terisita	[Month Ended]
Liza Hartling*	Moet Meira	Vicki Karpinski	Ashley Puida	[Month Ended]
Faith Maxwell	Caitlin Ann	Katie Montgomery	Ines Alecsandra*	Ania Zalewski
Amy Currie	Zoya Malyuk*	Rebecca Lynn	Gianna DiMarco	[Month Ended]
Dina Rivera	Rochelle Franklin	Farrah Mancini	Melissa Puente*	[Month Ended]
Amanda Melissa	Lucy Clay	Michelle LaVoie*	Amber Mross	Missi McGlone
