Year	Team	Chassis	Engine	Rank	Points
1982	Forsythe Newman	March 82C	Ford Cosworth DFX	22nd	28
1984	Shierson Racing	DSR-1	Ford Cosworth DFX	4th	110
1984	Shierson Racing	Lola T800	Ford Cosworth DFX	4th	110
1985	Team Penske	March 85C	Ford Cosworth DFX	4th	126
1986	Team Penske	March 86C	Ford Cosworth DFX	3rd	147
1986	Team Penske	Penske PC-15	Chevrolet 265A	3rd	147
1987	Team Penske	Penske PC-16	Chevrolet 265A	9th	87
1987	Team Penske	March 86C	Chevrolet 265A	9th	87
1988	Team Penske	Penske PC-17	Chevrolet 265A	1st	182
1989	Team Penske	Penske PC-18	Chevrolet 265A	7th	107
1990	Team Penske	Penske PC-19	Chevrolet 265A	6th	139
1991	Patrick Racing	Lola T91/00	Alfa Romeo Indy V8	11th	56
1992	Galles Racing	Galmer G92	Chevrolet 265A	7th	99
1993	Galles Racing	Lola T93/00	Chevrolet 265C	12th	43
1995	PacWest Racing	Reynard 95i	Ford XB	19th	32
