Member	Party	Electorate	State	Term of office
Hon Charles Adermann	Country	Fisher	Qld	1943–1972
Ian Allan	Country	Gwydir	NSW	1953–1969
Hon Doug Anthony	Country	Richmond	NSW	1957–1984
Bill Armstrong [6 ]	Country	Riverina	NSW	1965–1969
William Aston	Liberal	Phillip	NSW	1955–1961, 1963–1972
Lance Barnard	Labor	Bass	Tas	1954–1975
Hon Charles Barnes	Country	McPherson	Qld	1958–1972
Hon Sir Garfield Barwick [4 ]	Liberal	Parramatta	NSW	1958–1964
Jeff Bate	Liberal	Macarthur	NSW	1949–1972
Noel Beaton	Labor	Bendigo	Vic	1960–1969
Kim Beazley	Labor	Fremantle	WA	1945–1977
Sam Benson	Labor/Independent [8 ]	Batman	Vic	1962–1969
Fred Birrell	Labor	Port Adelaide	SA	1963–1974
Leonard Bosman	Liberal	St George	NSW	1963–1969
Nigel Bowen [4 ]	Liberal	Parramatta	NSW	1964–1973
William Bridges-Maxwell [5 ]	Liberal	Robertson	NSW	1964–1969
Wilfred Brimblecombe	Country	Maranoa	Qld	1951–1966
Gordon Bryant	Labor	Wills	Vic	1955–1980
Alexander Buchanan	Liberal	McMillan	Vic	1955–1972
Hon Leslie Bury	Liberal	Wentworth	NSW	1956–1974
Dr Jim Cairns	Labor	Yarra	Vic	1955–1977
Kevin Cairns	Liberal	Lilley	Qld	1963–1972, 1974–1980
Hon Arthur Calwell	Labor	Melbourne	Vic	1940–1972
Clyde Cameron	Labor	Hindmarsh	SA	1949–1980
Fred Chaney	Liberal	Perth	WA	1955–1969
Don Chipp	Liberal	Higinbotham	Vic	1960–1977
Joe Clark	Labor	Darling	NSW	1934–1969
Richard Cleaver	Liberal	Swan	WA	1955–1969
John Cockle	Liberal	Warringah	NSW	1961–1966
Fred Collard	Labor	Kalgoorlie	WA	1961–1975
Rex Connor	Labor	Cunningham	NSW	1963–1977
Jim Cope	Labor	Watson	NSW	1955–1975
Dominic Costa	Labor	Banks	NSW	1949–1969
Frank Courtnay	Labor	Darebin	Vic	1958–1969
Wilfred Coutts	Labor	Griffith	Qld	1954–1958, 1961–1966
Hon John Cramer	Liberal	Bennelong	NSW	1949–1974
Frank Crean	Labor	Melbourne Ports	Vic	1951–1977
Manfred Cross	Labor	Brisbane	Qld	1961–1975, 1980–1990
Dan Curtin	Labor	Kingsford-Smith	NSW	1949–1969
Fred Daly	Labor	Grayndler	NSW	1943–1975
Ron Davies	Labor	Braddon	Tas	1958–1975
Frank Davis	Liberal	Deakin	Vic	1949–1966
Roger Dean [5 ]	Liberal	Robertson	NSW	1949–1964
Leonard Devine	Labor	East Sydney	NSW	1963–1969
Hon Alec Downer [3 ]	Liberal	Angas	SA	1949–1964
Nigel Drury	Liberal	Ryan	Qld	1949–1975
Gil Duthie	Labor	Wilmot	Tas	1946–1975
John England	Country	Calare	NSW	1960–1975
Dudley Erwin	Liberal	Ballaarat	Vic	1955–1975
Laurie Failes	Country	Lawson	NSW	1949–1969
Hon David Fairbairn	Liberal	Farrer	NSW	1949–1975
Hon Allen Fairhall	Liberal	Paterson	NSW	1949–1969
Bill Falkinder	Liberal	Franklin	Tas	1946–1966
Dr Jim Forbes	Liberal	Barker	SA	1956–1975
Max Fox	Liberal	Henty	Vic	1955–1974
Allan Fraser	Labor	Eden-Monaro	NSW	1943–1966, 1969–1972
James Fraser [1 ]	Labor	Australian Capital Territory	ACT	1951–1970
Malcolm Fraser	Liberal	Wannon	Vic	1955–1983
Hon Gordon Freeth	Liberal	Forrest	WA	1949–1969
Bill Fulton	Labor	Leichhardt	Qld	1958–1975
Pat Galvin	Labor	Kingston	SA	1951–1966
Dr Wylie Gibbs	Liberal	Bowman	Qld	1963–1969
Adrian Gibson [2 ]	Liberal	Denison	Tas	1964–1969
Geoffrey Giles [3 ]	Liberal	Angas	SA	1964–1983
George Gray	Labor	Capricornia	Qld	1961–1967
Charles Griffiths	Labor	Shortland	NSW	1949–1972
John Hallett	Country	Canning	WA	1963–1974
Brendan Hansen	Labor	Wide Bay	Qld	1961–1974
Ted Harding	Labor	Herbert	Qld	1961–1966
Jim Harrison	Labor	Blaxland	NSW	1949–1969
Hon Paul Hasluck	Liberal	Curtin	WA	1949–1969
William Haworth	Liberal	Isaacs	Vic	1949–1969
Bill Hayden	Labor	Oxley	Qld	1961–1988
Rt Hon Harold Holt	Liberal	Higgins	Vic	1935–1967
Mac Holten	Country	Indi	Vic	1958–1977
Peter Howson	Liberal	Fawkner	Vic	1955–1972
Tom Hughes	Liberal	Parkes	NSW	1963–1972
Hon Alan Hulme	Liberal	Petrie	Qld	1949–1961, 1963–1972
Les Irwin	Liberal	Mitchell	NSW	1961–1972
William Jack	Liberal	North Sydney	NSW	1949–1966
Bert James	Labor	Hunter	NSW	1960–1980
John Jess	Liberal	La Trobe	Vic	1960–1972
Les Johnson	Labor	Hughes	NSW	1955–1966, 1969–1984
Charles Jones	Labor	Newcastle	NSW	1958–1983
Bert Kelly	Liberal	Wakefield	SA	1958–1977
Hon Wilfrid Kent Hughes	Liberal	Chisholm	Vic	1949–1970
Jim Killen	Liberal	Moreton	Qld	1955–1983
Bob King	Country	Wimmera	Vic	1958–1977
Robert Lindsay	Liberal	Flinders	Vic	1954–1966
Tony Luchetti	Labor	Macquarie	NSW	1951–1975
Philip Lucock	Country	Lyne	NSW	1953–1980
Dr Malcolm Mackay	Liberal	Evans	NSW	1963–1972
Dan Mackinnon	Liberal	Corangamite	Vic	1949–1951, 1953–1966
Donald Maisey	Country	Moore	WA	1963–1974
Rt Hon John McEwen	Country	Murray	Vic	1934–1971
Hector McIvor	Labor	Gellibrand	Vic	1955–1972
Hon Sir John McLeay	Liberal	Boothby	SA	1949–1966
Hon William McMahon	Liberal	Lowe	NSW	1949–1982
Rt Hon Robert Menzies	Liberal	Kooyong	Vic	1934–1966
Dan Minogue	Labor	West Sydney	NSW	1949–1969
Jack Mortimer	Labor	Grey	SA	1963–1966
Jock Nelson [1 ]	Labor	Northern Territory	NT	1949–1966
Martin Nicholls	Labor	Bonython	SA	1963–1977
Peter Nixon	Country	Gippsland	Vic	1961–1983
William O'Connor	Labor	Dalley	NSW	1946–1969
Hon Hubert Opperman	Liberal	Corio	Vic	1949–1967
Dr Rex Patterson [7 ]	Labor	Dawson	Qld	1966–1975
Ted Peters	Labor	Scullin	Vic	1949–1969
John Pettitt	Country	Hume	NSW	1963–1972
Hon Reg Pollard	Labor	Lalor	Vic	1937–1966
Leonard Reynolds	Labor	Barton	NSW	1958–1966, 1969–1975
Hon Bill Riordan	Labor	Kennedy	Qld	1936–1966
Hon Hugh Roberton [6 ]	Country	Riverina	NSW	1949–1965
Ian Robinson	Country	Cowper	NSW	1963–1990
Joe Sexton	Labor	Adelaide	SA	1958–1966
George Shaw [7 ]	Country	Dawson	Qld	1963–1966
Ian Sinclair	Country	New England	NSW	1963–1998
Billy Snedden	Liberal	Bruce	Vic	1955–1983
Frank Stewart	Labor	Lang	NSW	1953–1979
Philip Stokes	Liberal	Maribyrnong	Vic	1955–1969
Hon Reginald Swartz	Liberal	Darling Downs	Qld	1949–1972
Hon Athol Townley [2 ]	Liberal	Denison	Tas	1949–1964
Winton Turnbull	Country	Mallee	Vic	1946–1972
Harry Turner	Liberal	Bradfield	NSW	1952–1974
Tom Uren	Labor	Reid	NSW	1958–1990
Harry Webb	Labor	Stirling	WA	1954–1958, 1961–1972
William Wentworth	Liberal	Mackellar	NSW	1949–1977
Gough Whitlam	Labor	Werriwa	NSW	1952–1978
Ray Whittorn	Liberal	Balaclava	Vic	1960–1974
Keith Wilson	Liberal	Sturt	SA	1949–1954, 1955–1966
