Year	Entrant	Chassis	Engine	Points
1986	Osella Squadra Corse	Osella FA1G	Alfa Romeo V8	0
1987	Osella Squadra Corse	Osella FA1I	Alfa Romeo V8	0
1987	Osella Squadra Corse	Osella FA1G	Alfa Romeo V8	0
1988	Scuderia Italia	Dallara 3087	Cosworth V8	0
1988	Scuderia Italia	Dallara 188	Cosworth V8	0
1989	Scuderia Italia	Dallara 189	Cosworth V8	4
1990	Footwork Arrows Racing	Arrows A11B	Cosworth V8	2
1991	Footwork Grand Prix International	Footwork A11C	Porsche V12	0
1991	Footwork Grand Prix International	Footwork FA12	Porsche V12	0
1991	Footwork Grand Prix International	Footwork FA12C	Cosworth V8	0
1992	Andrea Moda Formula	Coloni C4B	Judd V10	0
1992	Andrea Moda Formula	Moda S921	Judd V10	0
