Actor	Character	Soap Opera	Years	Duration
Andrea Spatzek	Gabi Zenker	Lindenstraße	1985—	29 years
Marie-Luise Marjan	Helga Beimer	Lindenstraße	1985—	29 years
Joachim Hermann Luger	Hans Beimer	Lindenstraße	1985—	29 years
Moritz A. Sachs	Klaus Beimer	Lindenstraße	1985—	29 years
Ludwig Haas	Ludwig Dressler	Lindenstraße	1985—	29 years
Hermes Hodolides	Vasily Sarikakis	Lindenstraße	1985—	29 years
Sybille Waury	Tanja Schildknecht	Lindenstraße	1985—	29 years
Amorn Surangkanjanajai	Gung Pham Kien	Lindenstraße	1985—	29 years
Domna Adamopoulou	Elena Sarikakis	Lindenstraße	1985—	29 years
Irene Fischer	Anna Ziegler	Lindenstraße	1987—	27 years
Julia Stark	Sarah Ziegler	Lindenstraße	1987–2003, 2004—	26 years
Georg Uecker	Carsten Flöter	Lindenstraße	1986–1991, 1995—	24 years
Jo Bolling	Andy Zenker	Lindenstraße	1990—	24 years
Knut Hinz	Hajo Scholz	Lindenstraße	1990—	24 years
Marianne Rogée	Isolde Pavarotti	Lindenstraße	1986–2009, 2010, 2011	23 years
Sontje Peplow	Lisa Dağdelen	Lindenstraße	1991—	23 years
Bill Mockridge	Erich Schiller	Lindenstraße	1991—	23 years
Johannes Scheit	Tom Ziegler	Lindenstraße	1989–2011	22 years
Rebecca Siemoneit-Barum	Iffi Zenker	Lindenstraße	1990–2012	22 years
Annemarie Wendl	Else Kling	Lindenstraße	1985–2006	21 years
Wolfgang Bahro	Jo Gerner	Gute Zeiten, schlechte Zeiten	1993—	21 years
Moritz Zielke	Momo Sperling	Lindenstraße	1992–2001, 2002—	21 years
Petra Blossey	Irene Weigel	Unter Uns	1994—	20 years
Ursula Cantieni	Johanna Faller	Die Fallers - Eine Schwarzwaldfamilie	1994—	20 years
Wolfgang Hepp	Hermann Faller	Die Fallers - Eine Schwarzwaldfamilie	1994—	20 years
Peter Schell	Karl Faller	Die Fallers - Eine Schwarzwaldfamilie	1994—	20 years
Horst Hildebrand	Leo Vogt	Die Fallers - Eine Schwarzwaldfamilie	1994—	20 years
Anne von Linstow	Monique Guiton	Die Fallers - Eine Schwarzwaldfamilie	1994—	20 years
Christiane Bachschmidt	Kati Schönfeldt	Die Fallers - Eine Schwarzwaldfamilie	1994—	20 years
Edgar M Marcus	Franz Faller	Die Fallers - Eine Schwarzwaldfamilie	1994—	20 years
Roland Frey	Toni Willmann	Die Fallers - Eine Schwarzwaldfamilie	1994—	20 years
Friedrich Graumann	Schorsch Huber	Die Fallers - Eine Schwarzwaldfamilie	1994—	20 years
Luis Lamprecht	Josef Zimmerman	Die Fallers - Eine Schwarzwaldfamilie	1994—	20 years
Margret van Munster	Rosi Koch	Lindenstraße	1988–2007	19 years
Viktoria Brams	Inge Busch	Marienhof	1992–2011	19 years
Adelheid Theil	Claudia Heilert	Die Fallers - Eine Schwarzwaldfamilie	1994–2006, 2007—	19 years
Lisbeth Felder	Lioba Weber	Die Fallers - Eine Schwarzwaldfamilie	1995—	19 years
Heidi Vogel-Reinsch	Leni Riedlinger	Die Fallers - Eine Schwarzwaldfamilie	1995—	19 years
Christoph Hagin	Dieter Weiss	Die Fallers - Eine Schwarzwaldfamilie	1995—	19 years
Thomas Meinhardt	Heinz Faller	Die Fallers - Eine Schwarzwaldfamilie	1995—	19 years
Gabriele Metzger	Charlie Schneider	Verbotene Liebe	1995—	19 years
Harry Rowohlt	Harry Rennep	Lindenstraße	1995—	19 years
Isabell Hertel	Ute Weigel	Unter Uns	1995—	19 years
Frank-Thomas Mende	Clemens Richter	Gute Zeiten, schlechte Zeiten	1992–2010, 2011	18 years
Lisa Riecken	Elisabeth Meinhart-Richter	Gute Zeiten, schlechte Zeiten	1992–2010, 2011	18 years
Ute Mora	Berta Griese	Lindenstraße	1985–2003	18 years
Anna Nowak-Ibisz	Usch Winicki	Lindenstraße	1990–2007, 2008, 2009	17 years
Hans Christiani	A.R. Daniel	Gute Zeiten, schlechte Zeiten	1992–2009	17 years
Martin Rickelt	Franz Wittich	Lindenstraße	1987–2004	17 years
Claus Vinçon	Kathe Eschweiler	Lindenstraße	1996–2006, 2007—	17 years
Wolfgang Seidenberg	Frank Töppers	Marienhof	1995–2011	16 years
Horst D. Scheel	Hans Wilhelm Hülsch	Lindenstraße	1988–2004, 2007, 2009	16 years
Ruth Köppler	Paula Dörflinger	Die Fallers - Eine Schwarzwaldfamilie	1994–2010	16 years
Hermann Ruhr	Ludwig Leiser	Die Fallers - Eine Schwarzwaldfamilie	1994–2010	16 years
Konrad Krauss	Arno Brandner	Verbotene Liebe	1995–2009, 2010–2012	16 years
Gert Schaefer	Heinz August Pasulke	Schloss Einstein	1998—	16 years
Thomas Rühmann	Roland Heilmann	In aller Freundschaft	1998—	16 years
Maren Gilzer	Yvonne Habermann	In aller Freundschaft	1998—	16 years
Jutta Kammann	Ingrid Rischke	In aller Freundschaft	1998—	16 years
Dieter Bellmann	Gernot Simoni	In aller Freundschaft	1998—	16 years
Hendrikje Fitz	Pia Heilmann	In aller Freundschaft	1998—	16 years
Ursula Karruseit	Charlotte Gauß	In aller Freundschaft	1998—	16 years
Alexa Maria Surholt	Sarah Marquardt	In aller Freundschaft	1998—	16 years
Karsten Kühn	Jakob Heilmann	In aller Freundschaft	1998—	16 years
Holger Franke	Wolfgang Weigel	Unter Uns	1994–2009	15 years
Willi Herren	Olli Klatt	Lindenstraße	1992–2007, 2012	15 years
Imke Brügger	Rebecca Mattern	Unter Uns	1997–2012	15 years
Franz Rampelmann	Olaf Kling	Lindenstraße	1993–2008	15 years
Sara Turchetto	Marcella Varese	Lindenstraße	1998–2001, 2002—	15 years
Dominique Kusche	Sophie Ziegler	Lindenstraße	1998–2010, 2011—	15 years
Anna-Sophia Claus	Lea Starck	Lindenstraße	1999—	15 years
Erkan Gündüz	Murat Dağdelen	Lindenstraße	1999—	15 years
