Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
2	November 1	Dallas	L 85–95 (OT)	Rashad McCants (18)	Al Jefferson (12)	Randy Foye (6)	Target Center 16,893	1–1
3	November 2	@ Oklahoma City	L 85–88 (OT)	Al Jefferson (24)	Al Jefferson (13)	Randy Foye (6)	Ford Center 18,163	1–2
4	November 5	San Antonio	L 125–129 (2OT)	Al Jefferson (30)	Al Jefferson (14)	Sebastian Telfair (10)	Target Center 11,112	1–3
5	November 7	@ Sacramento	L 109–121 (OT)	Kevin Love (20)	Al Jefferson (9)	Sebastian Telfair (7)	ARCO Arena 10,592	1–4
6	November 8	@ Portland	L 93–97 (OT)	Al Jefferson (27)	Kevin Love (7)	Al Jefferson , Randy Foye (5)	Rose Garden 20,599	1–5
7	November 11	@ Golden State	L 110–113 (OT)	Al Jefferson (25)	Al Jefferson (12)	Randy Foye (8)	Oracle Arena 17,422	1–6
8	November 15	Portland	L 83–88 (OT)	Al Jefferson (26)	Al Jefferson (6)	Mike Miller (5)	Target Center 12,213	1–7
9	November 16	@ Denver	L 84–90 (OT)	Al Jefferson (20)	Al Jefferson (14)	Randy Foye (6)	Pepsi Center 16,721	1–8
10	November 19	Philadelphia	W 102–96 (OT)	Al Jefferson (25)	Mike Miller (10)	Sebastian Telfair (8)	Target Center 10,111	2–8
11	November 21	Boston	L 78–95 (OT)	Al Jefferson (21)	Craig Smith (7)	Craig Smith (4)	Target Center 19,107	2–9
12	November 23	@ Detroit	W 106–80 (OT)	Randy Foye (23)	Craig Smith (9)	Randy Foye (14)	The Palace of Auburn Hills 22,076	3–9
13	November 26	Phoenix	L 102–110 (OT)	Al Jefferson (28)	Al Jefferson (17)	Mike Miller (6)	Target Center 11,708	3–10
14	November 28	@ Oklahoma City	W 105–103 (OT)	Craig Smith (23)	Al Jefferson (9)	Randy Foye (7)	Ford Center 18,229	4–10
