Round	Overall	Player	Position	School/Club Team
1	3	Chip Banks	Linebacker	USC
2	31	Keith Baldwin	Defensive End	Texas A&M
4	87	Dwight Walker	Running Back	Nicholls State
5	115	Mike Baab	Center	Texas
6	162	Mike Whitwell	Defensive Back	Texas A&M
8	199	Mark Kafentzis	Defensive Back	Hawaii
8	204	Van Heflin	Tight End	Vanderbilt
8	211	Bill Jackson	Defensive Back	North Carolina
9	227	Milton Baker	Tight End	West Texas A&M
10	255	Ricky Floyd	Running Back	Southern Miss
11	282	Steve Michuta	Quarterback	Grand Valley State
12	310	Scott Nicolas	Linebacker	Miami
