Year	Show	Season	Episode title	Episode	Original airdate
2010	Sons of Anarchy	3	"NS"	13	30 November 2010
2010	Sons of Anarchy	3	"June Wedding"	12	23 November 2010
2010	Sons of Anarchy	3	"Bainne"	11	16 November 2010
2010	Sons of Anarchy	3	"Fírinne"	10	9 November 2010
2010	Sons of Anarchy	3	"Turas"	9	2 November 2010
2010	Sons of Anarchy	3	"Lochan Mor"	8	26 October 2010
2010	Sons of Anarchy	3	"Widening Gyre"	7	19 October 2010
2010	Sons of Anarchy	3	"Home"	4	28 September 2010
2010	Sons of Anarchy	3	"Oiled"	2	14 September 2010
2010	Sons of Anarchy	3	"So"	1	7 September 2010
2009	Sons of Anarchy	2	"Na Triobloidi"	13	1 December 2009
2009	Sons of Anarchy	2	"The Culling"	12	24 November 2009
2009	Sons of Anarchy	2	"Service"	11	17 November 2009
2009	Sons of Anarchy	2	"Potlatch"	8	27 October 2009
2009	Sons of Anarchy	2	"Gilead"	7	20 October 2009
2009	Sons of Anarchy	2	"Eureka"	4	29 September 2009
2009	Sons of Anarchy	2	"Albification"	1	8 September 2009
2008	Sons of Anarchy	1	"The Revelator"	13	26 November 2008
2008	Sons of Anarchy	1	"The Sleep of Babies"	12	19 November 2008
2008	Sons of Anarchy	1	"Capybara"	11	12 November 2008
2008	Sons of Anarchy	1	"The Pull"	8	22 October 2008
2008	Sons of Anarchy	1	"Fun Town"	3	17 September 2008
2008	Sons of Anarchy	1	"Seeds"	2	10 September 2008
2008	Sons of Anarchy	1	"Pilot"	1	3 September 2008
2008	The Shield	7	"Parricide"	8	21 October 2008
2008	The Shield	7	"Coefficient of Drag"	1	2 September 2008
2007	The Shield	6	"Exiled"	7	15 May 2007
2007	The Shield	6	"On The Jones"	1	3 April 2007
2006	The Shield	5	"Of Mice and Lem"	10	14 March 2006
2006	The Shield	5	"Trophy"	5	7 February 2006
2006	The Shield	5	"Extraction"	1	10 January 2006
2005	The Shield	4	"Ain't That a Shame"	13	14 June 2005
2005	The Shield	4	"Judas Priest"	12	7 June 2005
2005	The Shield	4	"Grave"	2	22 March 2005
2004	The Shield	3	"Fire in the Hole"	13	1 June 2004
2004	The Shield	3	"Slipknot"	9	4 May 2004
2004	The Shield	3	"Mum"	5	6 April 2004
2004	The Shield	3	"Playing Tight"	1	9 March 2004
2003	The Shield	2	"Scar Tissue"	8	25 February 2003
2003	The Shield	2	"Dead Soldiers"	2	14 January 2003
2002	The Shield	1	"Two Days of Blood"	12	28 May 2002
2002	The Shield	1	"Dragonchasers"	10	14 May 2002
2002	The Shield	1	"Blowback"	5	9 April 2002
