Name	Builder	Wheel arrangement	Works Number	Built
Alpha	W.G. Bagnall	0-6-2T	2472	1932
Leader	Kerr Stuart	0-4-2ST	926	1905
Melior	Kerr Stuart	0-4-2ST	4219	1924
Premier	Kerr Stuart	0-4-2ST	886	1905
Superb	W.G. Bagnall	0-6-2T	2624	1922
Triumph	W.G. Bagnall	0-6-2T	2511	1934
Unique	W.G. Bagnall	2-4-0 F	2216	1924
Victor	Hudson Hunslet	4wDM	4182	1953
Edward Lloyd	Ruston & Hornsby	0-4-0 DM	435403	1961
Barton Hall	Hunslet	4wDH	6651	1965
No 1	Andrew Barclay and Sons	0-4-0F	1876	1925
No 3, Bear	Peckett and Sons	0-4-0ST	614	1896
