Outcome	Date	Tournament	Surface	Opponent	Score
Runner–up	20 April 2007	Hvar	Clay	Karolina Jovanović	1–6 4–6
Winner	14 May 2007	Michalovce	Clay	Katarzyna Piter	2–6 6–3 6–4
Runner–up	25 May 2008	Galați	Clay	Valentina Sulpizio	2–6 6–7(2)
Runner–up	10 August 2008	Hechingen	Clay	Maša Zec Peškirič	6–3 6–7(1) 3–6
Runner–up	7 September 2008	Maribor	Clay	Maša Zec Peškirič	2–6 6–7(6)
Runner–up	29 March 2009	La Palma	Hard	Anastasija Sevastova	6–4 1–6 1–6
Runner–up	5 June 2009	Pozoblanco	Hard	Angelique Kerber	3–6 4–6
Runner–up	6 June 2010	Brno	Clay	Zuzana Ondrášková	3–6 6–4 2–6
Runner–up	26 September 2010	Bucharest	Clay	Mădălina Gojnea	4–6 4–6
Winner	18 June 2012	Alkmaar	Clay	Janina Toljan	6–3 6–4
Winner	8 July 2012	Denain	Clay	Michaela Hončová	6–2 1–6 6–2
Runner–up	30 June 2013	Zlín	Clay	Melanie Klaffner	3–6 2–6
Winner	28 July 2013	Les Contamines-Montjoie	Clay	Clothilde de Bernardi	7–5 6–7(3) 6–3
Winner	18 August 2013	Craiova	Clay	Alberta Brianti	7–5 3–6 6–4
Runner–up	15 September 2013	Sofia	Clay	Patricia Mayr-Achleitner	2–6 6–1 3–6
Runner–up	26 October 2013	Herzliya	Hard	Yuliya Beygelzimer	3–6, 6–4, 2–5, ret.
