Class	Team	Driver	Chassis – Engine	Laps
C1	Silk Cut Jaguar	Raul Boesel	Jaguar XJR-8	77
C1	Liqui Moly Equipe	Jonathan Palmer	Porsche 962 C	77
C1	Brun Motorsport	Jochen Mass	Porsche 962 C	76
C1	Joest Racing	Stanley Dickens	Porsche 962 C	75
C1	Primagaz Competition	Pierre Yver	Porsche 962 C	72
C2	Swiftair Ecurie Ecosse	David Leslie	Ecosse C286 – Ford	72
C2	Spice Engineering	Gordon Spice	Spice SE86C – Ford	71
C2	Tiga Ford Denmark	John Sheldon	Tiga GC287 – Ford	70
C2	Spice Engineering	Nick Adams	Spice SE87C – Ford	70
C1	Brun Motorsport	Jésus Pareja	Porsche 962 C	70
C2	Kelmar Racing	Ranieri Randaccio	Tiga GC85 – Ford	69
C2	Schanche Racing	Martin Schanche	Argo JM19B – Zakspeed	64
C1	Porsche Kremer Racing	Kris Nissen	Porsche 962 C	75
C1	Blaupunkt Joest Racing	Klaus Ludwig	Porsche 962 C	77
C1	Porsche AG	Derek Bell	Porsche 962 C	61
C2	Swiftair Ecurie Ecosse	Mike Wilds	Ecosse C286 – Ford	25
