Rank	District	2010 Population	Area (km 2 )	State
1	Petaling	1,812,633	501	Selangor
2	Kuala Lumpur	1,674,621	243	Federal Territory
3	Johor Bahru District	1,386,569	1,865	Johor
4	Hulu Langat	1,156,585	840	Selangor
5	Klang	861,189	636	Selangor
6	Kinta	767,794	1,975	Perak
7	Gombak	682,226	628	Selangor
8	Kuching	617,887	1,863	Sarawak
9	Seremban	555,935	959	Negeri Sembilan
10	North-East Penang Island	520,202	121	Penang
11	Central Malacca	503,127	689	Melaka
12	Kota Bharu	491,237	403	Kelantan
13	Kota Kinabalu	462,963	351	Sabah
14	Kuantan	461,906	3,067	Pahang
15	Kuala Muda	456,605	930	Kedah
16	Batu Pahat	417,458	1,999	Johor
17	Tawau	412,375	6,125	Sabah
18	Sandakan	409,056	2,266	Sabah
19	Central Seberang Perai	371,975	239	Penang
20	Kota Setar	366,787	670	Kedah
21	Kuala Terengganu	343,284	604	Terengganu
22	Larut & Matang	334,073	2,095	Perak
23	Miri	300,543	4,707	Sarawak
24	Kluang	298,332	2,885	Johor
25	North Seberang Perai	295,979	269	Penang
26	Kulim	287,694	768	Kedah
27	Kulaijaya	251,650	753	Johor
28	Sibu	247,995	2,230	Sarawak
29	Muar	247,957	2,370	Johor
30	Manjung	232,227	1,074	Perak
31	Perlis	231,541	821	Perlis
32	Kuala Langat	224,648	885	Selangor
33	Kubang Pasu	220,740	954	Kedah
34	Sepang	211,361	612	Selangor
35	Kuala Selangor	209,590	1,232	Selangor
36	Hilir Perak	208,570	1,752	Perak
37	Lahad Datu	206,861	7,444	Sabah
38	South-West Penang Island	202,142	176	Penang
39	Hulu Selangor	198,132	1,764	Selangor
40	Kota Tinggi	193,210	3,433	Johor
41	Segamat	189,820	2,879	Johor
42	Pasir Mas	189,292	572	Kelantan
43	Bintulu	189,146	7,220	Sarawak
44	Alor Gajah	182,666	674	Melaka
45	Kerian	179,706	905	Perak
46	Batang Padang	179,494	2,738	Perak
47	Keningau	177,735	3,533	Sabah
48	Kemaman	171,383	2,581	Terengganu
49	South Seberang Perai	171,045	243	Penang
50	Temerloh	165,451	2,471	Pahang
