Place	Player	Country	Score	To par	Money ( $ )
1	Pádraig Harrington	Ireland	71-74-66-66=277	–3	1,350,000
T2	Ben Curtis	United States	73-67-68-71=279	–1	660,000
T2	Sergio García	Spain	69-73-69-68=279	–1	660,000
T4	Henrik Stenson	Sweden	71-70-68-72=281	+1	330,000
T4	Camilo Villegas	Colombia	74-72-67-68=281	+1	330,000
6	Steve Flesch	United States	73-70-70-69=282	+2	270,000
T7	Phil Mickelson	United States	70-73-71-70=284	+4	231,250
T7	Andrés Romero	Argentina	69-78-65-72=284	+4	231,250
T9	Alastair Forsyth	Scotland	73-72-70-70=285	+5	176,725
T9	Justin Rose	England	73-67-74-71=285	+5	176,725
T9	Jeev Milkha Singh	India	68-74-70-73=285	+5	176,725
T9	Charlie Wi	South Korea	70-70-71-74=285	+5	176,725
