Round	Pick #	Overall	Name	Position	College
2	18	44	Gerald Tinker	Wide Receiver	Kent State
3	17	69	Kim McQuilken	Quarterback	Lehigh
3	19	71	Mo Spencer	Defensive Back	North Carolina Central
4	18	96	Vince Kendrick	Running Back	Florida
5	5	109	Henry Childs	Tight End	Kansas State
5	24	128	Monroe Eley	Running Back	Arizona State
6	17	147	Doyle Orange	Running Back	Southern Miss
7	17	173	James Coode	Offensive Tackle	Michigan
9	17	225	Larry Bailey	Defensive Tackle	Pacific
10	18	252	Paul Ryczek	Center	Virginia
11	17	277	Eddie Wilson	Wide Receiver	Albany State
12	18	304	Vic Koegel	Linebacker	Ohio State
13	17	329	Ralph Powell	Running Back	Nebraska
14	18	356	John Givens	Guard	Villanova
15	17	381	Willie Jones	Wide Receiver	Iowa State
16	18	408	Sylvester McGee	Running Back	Rhode Island
17	17	433	Al Davis	Guard	Boise State
