Outcome	Date	Tournament	Surface	Opponent	Score
Winner	25 May 1987	Florence	Clay	Alessandro de Minicis	6–1, 6–3
Runner-up	3 January 1988	Wellington	Hardcourt	Ramesh Krishnan	7–6, 0–6, 4–6, 3–6
Runner-up	10 January 1988	Sydney	Grass	John Fitzgerald	3–6, 4–6
Winner	14 March 1988	Orlando	Hardcourt	Miloslav Mečíř	7–6 (8–6) , 6–1
Runner-up	16 October 1988	Toulouse	Hardcourt	Jimmy Connors	2–6, 0–6
Winner	24 April 1989	Nice	Clay	Jérôme Potier	6–4, 6–4
Winner	8 May 1989	Munich	Clay	Martin Střelba	5–7, 7–6 (8–6) , 6–2
Runner-up	14 January 1990	Auckland	Hardcourt	Scott Davis	6–4, 3–6, 3–6
Winner	30 April 1990	Monte Carlo	Clay	Thomas Muster	7–5, 6–3, 6–3
Runner-up	20 May 1990	Rome	Clay	Thomas Muster	1–6, 3–6, 1–6
Winner	15 October 1990	Tel Aviv	Hardcourt	Amos Mansdorf	6–4, 6–3
Winner	29 July 1991	Montreal	Hardcourt	Petr Korda	3–6, 6–4, 6–3
Runner-up	8 March 1992	Indian Wells	Hardcourt	Michael Chang	3–6, 4–6, 5–7
Runner-up	9 May 1993	Hamburg	Clay	Michael Stich	3–6, 7–6 (7–1) , 6–7 (7–9) , 4–6
Runner-up	8 August 1993	Prague	Clay	Sergi Bruguera	5–7, 4–6
