Date	Tournament	Surface	Partnering	Opponents in the final	Score
May 8, 2000	Fergana , Uzbekistan	Hard	Daniel Melo	Jonathan Erlich Lior Mor	6–4, 6–0
May 15, 2000	Samarkand , Uzbekistan	Clay	Daniel Melo	Stefano Galvani Andrei Stoliarov	W/O
June 31, 2000	Gramado , Brazil	Hard	Daniel Melo	André Sá Eric Taino	7–6(7), 7–6(3)
May 14, 2001	Zagreb , Croatia	Clay	Aleksandar Kitinov	Enzo Artoni Andrés Schneiter	6–7(5), 6–4, 6–4
October 15, 2001	Brasília , Brazil	Clay	Daniel Melo	Luis Lobo Daniel Orsanic	W/O
April 15, 2002	Bermuda , Bermuda	Clay	Ramón Delgado	George Bastl Neville Godwin	7–5, 6–3
July 15, 2002	Amersfoort , The Netherlands	Clay	André Sá	Jeff Coetzee Chris Haggard	7–6(1), 6–3
June 23, 2003	Andorra , Andorra	Hard	Ricardo Mello	Rik de Voest Tuomas Ketola	6–4, 3–6, 6–4
August 2, 2004	Gramado , Brazil	Hard	Henrique Mello	Santiago González Bruno Soares	6–3, 6–3
March 13, 2006	Salinas , Ecuador	Hard	André Ghem	Thiago Alves Júlio Silva	3–6, 6–4, [10–4]
January 1, 2007	São Paulo , Brazil	Hard	Marcelo Melo	Pablo Cuevas Adrián García	6–4, 6–2
April 2, 2007	Monza , Italy	Clay	Ricardo Hocevar	Nathan Healey Jordan Kerr	6–4, 6–3
