Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Claude Boivin	Left Wing	Canada	Drummondville Voltigeurs ( QMJHL )
2	Pat Murray	Left Wing	Canada	Michigan State Spartans ( CCHA )
3	Craig Fisher	Left Wing	Canada	Oshawa Legionaires ( MetJHL )
3	Dominic Roussel	Goaltender	Canada	Trois-Rivières Draveurs (QMJHL)
4	Scott LaGrand	Goaltender	United States	Hotchkiss School (Conn.)
5	Edward O'Brien	Left Wing	United States	Cushing Academy (Massachusetts)
6	Gord Frantti	Defense	United States	Calumet High School (Mich.)
7	Jamie Cooke	Right Wing	Canada	Bramalea Blues (MetJHL)
8	Johann Salle	Defense	Sweden	Malmö IF ( Elitserien )
9	Brian Arthur	Defense	Canada	Etobicoke Capitals (CJBHL)
10	Jeff Dandreta	Right Wing	United States	Cushing Academy (Massachusetts)
11	Scott Billey	Right Wing	United States	Madison Capitols ( USHL )
12	Dragomir Kadlec	Defense	Czech Republic	Dukla Jihlava (CZE)
Sup	Paul Connell	Goaltender	United States	Bowling Green Falcons (CCHA)
