Week	Date	Opponent	Result	Attendance
1	September 10, 1989	Dallas Cowboys	W 28-0	66,977
2	September 17, 1989	at Green Bay Packers	L 35-34	55,809
3	September 24, 1989	at Tampa Bay Buccaneers	L 20-10	44,053
4	October 1, 1989	Washington Redskins	L 16-14	64,358
5	October 8, 1989	San Francisco 49ers	L 24-20	60,488
6	October 15, 1989	New York Jets	W 29-14	59,521
7	October 22, 1989	at Los Angeles Rams	W 40-21	57,567
8	October 29, 1989	Atlanta Falcons	W 20-13	65,153
9	November 6, 1989	at San Francisco 49ers	L 31-13	60,667
10	November 12, 1989	at New England Patriots	W 28-24	47,680
11	November 19, 1989	at Atlanta Falcons	W 26-17	53,173
12	November 26, 1989	Los Angeles Rams	L 20-17	64,274
13	December 3, 1989	at Detroit Lions	L 21-14	38,550
14	December 10, 1989	at Buffalo Bills	W 22-19	70,037
15	December 18, 1989	Philadelphia Eagles	W 30-20	59,218
16	December 24, 1989	Indianapolis Colts	W 41-6	49,009
