Date	Visitor	Score	Home	Record
October 10	Atlanta Flames	5–3	Quebec Nordiques	0–1–0
October 13	Quebec Nordiques	1–3	Montreal Canadiens	0–2–0
October 18	Quebec Nordiques	5–2	Colorado Rockies	1–2–0
October 19	Quebec Nordiques	3–6	Edmonton Oilers	1–3–0
October 21	Quebec Nordiques	3–0	Chicago Black Hawks	2–3–0
October 24	Hartford Whalers	2–2	Quebec Nordiques	2–3–1
October 27	Buffalo Sabres	3–0	Quebec Nordiques	2–4–1
October 28	Montreal Canadiens	4–5	Quebec Nordiques	3–4–1
October 31	Winnipeg Jets	5–2	Quebec Nordiques	3–5–1
November 2	Quebec Nordiques	4–4	Atlanta Flames	3–5–2
November 4	Detroit Red Wings	1–5	Quebec Nordiques	4–5–2
November 7	Philadelphia Flyers	4–3	Quebec Nordiques	4–6–2
November 10	Quebec Nordiques	4–5	New York Rangers	4–7–2
November 11	St. Louis Blues	1–4	Quebec Nordiques	5–7–2
November 14	Quebec Nordiques	2–7	Minnesota North Stars	5–8–2
November 16	Quebec Nordiques	3–2	Winnipeg Jets	6–8–2
November 18	Toronto Maple Leafs	2–4	Quebec Nordiques	7–8–2
November 20	Boston Bruins	5–3	Quebec Nordiques	7–9–2
November 22	Quebec Nordiques	4–7	Boston Bruins	7–10–2
November 24	Quebec Nordiques	4–4	Hartford Whalers	7–10–3
November 25	Washington Capitals	2–2	Quebec Nordiques	7–10–4
November 27	Quebec Nordiques	2–4	St. Louis Blues	7–11–4
November 28	Quebec Nordiques	2–7	Pittsburgh Penguins	7–12–4
December 1	Quebec Nordiques	2–7	Washington Capitals	7–13–4
December 2	Vancouver Canucks	1–3	Quebec Nordiques	8–13-4
December 4	Colorado Rockies	3–1	Quebec Nordiques	8–14–4
December 6	St. Louis Blues	2–5	Quebec Nordiques	9–14–4
December 9	Los Angeles Kings	2–3	Quebec Nordiques	10–14–4
December 12	Winnipeg Jets	0–5	Quebec Nordiques	11–14–4
December 13	Quebec Nordiques	4–6	Philadelphia Flyers	11–15–4
December 15	Quebec Nordiques	4–4	Detroit Red Wings	11–15–5
December 16	Pittsburgh Penguins	1–4	Quebec Nordiques	12–15–5
December 19	Colorado Rockies	3–6	Quebec Nordiques	13–15–5
December 23	Quebec Nordiques	3–1	Buffalo Sabres	14–15–5
December 27	Quebec Nordiques	0–3	Los Angeles Kings	14–16–5
December 29	Quebec Nordiques	2–6	Vancouver Canucks	14–17–5
December 30	Quebec Nordiques	2–1	Edmonton Oilers	15–17–5
January 2	New York Rangers	3–3	Quebec Nordiques	15–17–6
January 5	Quebec Nordiques	7–3	Toronto Maple Leafs	16–17–6
January 9	Edmonton Oilers	2–3	Quebec Nordiques	17–17–6
January 11	Quebec Nordiques	3–4	Atlanta Flames	17–18–6
January 12	Quebec Nordiques	2–8	St. Louis Blues	17–19–6
January 16	Boston Bruins	3–1	Quebec Nordiques	17–20–6
January 19	Quebec Nordiques	1–3	New York Islanders	17–21–6
January 20	Washington Capitals	2–3	Quebec Nordiques	18–21–6
January 23	Minnesota North Stars	4–6	Quebec Nordiques	19-21–6
January 26	Quebec Nordiques	1–1	Washington Capitals	19–21–7
January 27	Detroit Red Wings	7–6	Quebec Nordiques	19–22–7
January 30	Atlanta Flames	4–1	Quebec Nordiques	19–23–7
February 2	Quebec Nordiques	2–7	Boston Bruins	19–24–7
February 3	New York Rangers	4–5	Quebec Nordiques	20–24–7
February 6	Chicago Black Hawks	3–3	Quebec Nordiques	20–24–8
February 9	Quebec Nordiques	0–5	New York Islanders	20–25–8
February 10	Quebec Nordiques	1–3	New York Rangers	20–26–8
February 14	Quebec Nordiques	1–5	Montreal Canadiens	20–27–8
February 17	Quebec Nordiques	5–6	Winnipeg Jets	20–28–8
February 18	Quebec Nordiques	2–6	Minnesota North Stars	20–29–8
February 19	Buffalo Sabres	3–1	Quebec Nordiques	20–30–8
February 23	Quebec Nordiques	1–2	Pittsburgh Penguins	20–31–8
February 24	Pittsburgh Penguins	0–2	Quebec Nordiques	21–31–8
February 26	Hartford Whalers	5–9	Quebec Nordiques	22–31–8
February 27	New York Islanders	5–3	Quebec Nordiques	22–32–8
March 2	Los Angeles Kings	4–3	Quebec Nordiques	22–33–8
March 5	Minnesota North Stars	3-3	Quebec Nordiques	22–33–9
March 8	Quebec Nordiques	2–3	Toronto Maple Leafs	22–34–9
March 9	Toronto Maple Leafs	4–5	Quebec Nordiques	23–34-9
March 12	Edmonton Oilers	6–3	Quebec Nordiques	23–35–9
March 16	Vancouver Canucks	3–2	Quebec Nordiques	23–36–9
March 19	Quebec Nordiques	2–5	Chicago Black Hawks	23–37–9
March 20	Quebec Nordiques	6–2	Colorado Rockies	24–37–9
March 22	Quebec Nordiques	1-4	Los Angeles Kings	24–38-9
March 23	Quebec Nordiques	6–2	Vancouver Canucks	25–38–9
March 26	Chicago Black Hawks	7–2	Quebec Nordiques	25–39–9
March 27	Quebec Nordiques	2–5	Philadelphia Flyers	25–40–9
March 29	Quebec Nordiques	7–9	Detroit Red Wings	25–41–9
March 30	New York Islanders	9–6	Quebec Nordiques	25–42–9
April 1	Philadelphia Flyers	3–3	Quebec Nordiques	25–42–10
April 3	Quebec Nordiques	3–8	Buffalo Sabres	25–43–10
April 4	Quebec Nordiques	2–9	Hartford Whalers	25–44–10
April 6	Montreal Canadiens	4–4	Quebec Nordiques	25–44–11
