Tournament	Winner	Runner-up	Score	Third Place
Doha	Marcelo Ríos	Cédric Pioline	6–2, 6–2	Richard Krajicek
Hong Kong	Marcelo Ríos	Thomas Muster	6–3, 6–3	Cédric Pioline
Barcelona	Sergi Bruguera	Carlos Costa	6–1, 6–4	Richard Krajicek
Rome	Renzo Furlan	Sergi Bruguera	6–4, 4–6, [13–11]	Cédric Pioline
Algarve	Marcelo Ríos	John McEnroe	6–2, 6–4	Carl-Uwe Steeb
Graz-Seiersberg	Marcelo Ríos	Thomas Muster	7–6(1), 7–6(5)	Goran Ivanišević
Paris	Marcelo Ríos	Goran Ivanišević	7–5, 6–3	Cédric Pioline
Eindhoven	Marcelo Ríos	Wayne Ferreira	6–3,6–1	Richard Krajicek
Frankfurt	Goran Ivanišević	John McEnroe	7–6(12), 7–6(1)	Paul Haarhuis
London	Paul Haarhuis	Goran Ivanišević	7–6(4), 5–7, [10–7]	None
