Rank	Heat	Cyclist	Nation	Result
1	9	Bradley Wiggins	Great Britain	4:15.031
2	8	Hayden Roulston	New Zealand	4:18.990
3	9	Alexei Markov	Russia	4:21.498
4	6	Volodymyr Dyudya	Ukraine	4:21.530
5	2	Steven Burke	Great Britain	4:22.260
6	3	Antonio Tauler	Spain	4:22.462
7	6	Taylor Phinney	United States	4:22.860
8	5	Alexander Serov	Russia	4:23.732
9	7	Bradley McGee	Australia	4:26.084
10	5	Sergi Escobar	Spain	4:26.102
11	7	David O'Loughlin	Ireland	4:26.102
12	1	Brett Lancaster	Australia	4:26.139
13	3	Jens Mouris	Netherlands	4:27.445
14	4	Vitaliy Popkov	Ukraine	4:30.321
15	1	Fabien Sanchez	France	4:33.100
16	2	Carlos Alzate	Colombia	4:35.154
17	4	Alexandr Pliuschin	Moldova	4:35.438
18	8	Jenning Huizenga	Netherlands	4:37.097
