Release	Title	Windows	5th Gen	6th Gen	Handheld
January 4	RuneScape	PC	N/A	N/A	N/A
January 10	Mega Man 64	PC (July 14)	N64 , PS1 (1998)	N/A	N/A
January 21	Phantasy Star Online	N/A	N/A	DC	N/A
January 31	Mega Man X5	PC (2002)	PS1	N/A	N/A
February 5	Paper Mario	N/A	N64	N/A	N/A
February 7	Clive Barker's Undying	PC	N/A	N/A	N/A
February 16	Final Fantasy IX	N/A	PS1 (PAL & EU)	N/A	N/A
March 1	Lego Island 2 The Brickster's Revenge	Win'98	PS1	N/A	GBC , GBA
March 5	Conker's Bad Fur Day	N/A	N64	N/A	N/A
March 9	Sonic Shuffle	N/A	N/A	DC	N/A
March 12	Star Wars: Episode I: Battle for Naboo	Windows (US)	N/A	N/A	N/A
March 13	Onimusha: Warlords	N/A	N/A	PS2	N/A
March 21	Tribes 2	PC	N/A	N/A	N/A
March 21	Serious Sam: The First Encounter	PC	N/A	N/A	N/A
March 22	Klonoa 2: Lunatea's Veil	N/A	N/A	PS2	N/A
March 23	Star Wars: Episode I: Battle for Naboo	Windows (EU)	N/A	N/A	N/A
March 25	Black & White	PC	N/A	N/A	N/A
March 30	Star Wars: Episode I: Battle for Naboo	N/A	N64 (EU)	N/A	N/A
April 8	Dr. Mario 64	N/A	N64	N/A	N/A
May 7	Mario Party 3	N/A	N64	N/A	N/A
May 22	Red Faction	N/A	N/A	PS2	N/A
May 30	Bejeweled	PC	N/A	N/A	N/A
June 8	Castlevania: Circle of the Moon	N/A	N/A	N/A	GBA
June 10	Super Mario Advance	N/A	N/A	N/A	GBA
June 11	F-Zero: Maximum Velocity	N/A	N/A	N/A	GBA
June 11	Super Mario Advance	N/A	N/A	N/A	GBA
June 18	Twisted Metal: Black	N/A	N/A	PS2	N/A
June 19	Sonic Adventure 2	N/A	N/A	DC	N/A
June 21	Baldur's Gate II: Throne of Bhaal	PC	N/A	N/A	N/A
June 22	Operation Flashpoint: Cold War Crisis	PC	N/A	N/A	N/A
June 29	Final Fantasy Chronicles	N/A	PS1	N/A	N/A
July 10	Gran Turismo 3: A-Spec	N/A	N/A	PS2	N/A
July 19	Final Fantasy X	N/A	N/A	PS2 (JAP)	N/A
July 23	Max Payne	PC	N/A	N/A	N/A
July 29	Pokémon Crystal	N/A	N/A	N/A	GBA
August 8	Shogun: Total War : Mongol Invasion	PC	N/A	N/A	N/A
August 21	Arcanum: Of Steamworks and Magick Obscura	PC	N/A	N/A	N/A
August 27	Mario Kart Super Circuit	N/A	N/A	N/A	GBA
August 29	Alchemy	PC	N/A	N/A	N/A
September 9	Advance Wars	N/A	N/A	N/A	GBA
September 24	Silent Hill 2	N/A	N/A	PS2	N/A
September 30	Ico	N/A	N/A	PS2	N/A
October 10	Dark Age of Camelot	PC	N/A	N/A	N/A
October 17	Devil May Cry	N/A	N/A	PS2	N/A
October 21	Stronghold	PC	N/A	N/A	N/A
October 22	Grand Theft Auto III	N/A	N/A	PS2	N/A
October 28	Tony Hawk's Pro Skater 3	N/A	N/A	PS2 , GC	N/A
October 29	Crash Bandicoot: The Wrath of Cortex	N/A	N/A	PS2 , Xbox , GC	N/A
October 30	Aliens versus Predator 2	PC	N/A	N/A	N/A
October 30	Civilization III	PC	N/A	N/A	N/A
October 30	Mega Man Xtreme 2	N/A	N/A	N/A	GBC
November 1	Dragon Warrior VII	N/A	PS1	N/A	N/A
November 5	SSX Tricky	N/A	N/A	PS2 , GC , Xbox	N/A
November 9	Project Gotham Racing	N/A	N/A	Xbox	N/A
November 11	Golden Sun	N/A	N/A	N/A	GBA
November 12	Empire Earth	PC	N/A	N/A	N/A
November 14	Metal Gear Solid 2: Sons of Liberty	N/A	N/A	PS2	N/A
November 15	Dead or Alive 3	N/A	N/A	Xbox	N/A
November 15	Halo: Combat Evolved	N/A	N/A	Xbox	N/A
November 17	Star Wars Rogue Squadron II: Rogue Leader	N/A	N/A	GC	N/A
November 18	Super Monkey Ball	N/A	N/A	GC	N/A
November 18	IL-2 Sturmovik	PC	N/A	N/A	N/A
November 19	WWF SmackDown! Just Bring It	N/A	N/A	PS2	N/A
November 20	FreQuency	N/A	N/A	PS2	N/A
November 20	Return to Castle Wolfenstein	PC	N/A	N/A	N/A
November 20	Frogger: The Great Quest	PS2	N/A	N/A	N/A
November 21	Super Smash Bros. Melee	N/A	N/A	GC (NTSC-J)	N/A
December 3	Baldur's Gate: Dark Alliance	N/A	N/A	PS2	N/A
December 3	Pikmin	N/A	N/A	GC	N/A
December 3	Super Smash Bros. Melee	N/A	N/A	GC (NTSC-U)	N/A
December 3	Jak and Daxter: The Precursor Legacy	N/A	N/A	PS2	N/A
December 7	Evil Twin: Cyprien's Chronicles	N/A	N/A	PS2 (PAL & EU)	N/A
December 17	Luigi's Mansion	N/A	N/A	GC	N/A
December 17	Dark Rift (North America)	N/A	N64	N/A	N/A
