Year	Competition	Venue	Position	Notes
1999	World Youth Championships	Bydgoszcz , Poland	3rd	14.64 m
2000	World Junior Championships	Santiago , Chile	12th	14.61 m
2002	World Junior Championships	Kingston , Jamaica	4th	16.53 m
2003	European U23 Championships	Bydgoszcz, Poland	4th	16.49 m
2005	Mediterranean Games	Almeira , Spain	3rd	17.34 m
2005	European U23 Championships	Erfurt , Germany	3rd	18.22 m
2005	Universiade	Izmir , Turkey	5th	17.10 m
2006	European Championships	Gothenburg , Sweden	8th	18.23 m
2007	European Cup Winter Throwing	Jalta , Ukraine	3rd	18.14 m
2007	World Championships	Osaka , Japan	8th	18.39 m
2007	World Athletics Final	Stuttgart , Germany	6th	17.82 m
2008	World Indoor Championships	Valencia , Spain	5th	18.68 m
2008	European Cup Winter Throwing	Split , Croatia	3rd	18.05 m
2008	Olympic Games	Beijing , China	13th	18.22 m
2009	European Cup Winter Throwing	Tenerife , Spain	3rd	18.55 m
2009	Mediterranean Games	Pescara , Italy	3rd	17.34 m
2009	Universiade	Belgrade , Serbia	2nd	18.21 m
2009	European Team Championships	Leiria , Portugal	2nd	18.57 m
2009	World Championships	Berlin, Germany	16th (q)	17.89 m
2010	European Team Championships	Bergen , Norway	3rd	17.77 m
2010	European Championships	Barcelona , Spain	13th	17.49 m
2011	European Indoor Championships	Paris , France	7th	17.54 m
2011	European Cup Winter Throwing	Sofia , Bulgaria	3rd	17.39 m
2011	European Team Championships	Stockholm , Sweden	3rd	17.18 m
2011	World Championships	Daegu, South Korea	14th (q)	18.28 m
2012	European Championships	Helsinki , Finland	3rd	18.47 m
2012	Olympic Games	London, United Kingdom	14th (q)	18.30 m
2013	European Indoor Championships	Gothenburg, Sweden	4th	18.37 m
2013	World Championships	Moscow, Russia	22nd (q)	17.18 m
