Round	Pick #	Overall	Name	Position	College
1	13	13	Marcus Stroud	Defensive Tackle	Georgia
2	12	43	Maurice Williams	Offensive Tackle	Michigan
3	11	73	Eric Westmoreland	Linebacker	Tennessee
3	32	94	James Boyd	Defensive Back	Penn State
5	11	142	David Leaverton	Punter	Tennessee
6	7	170	Chad Ward	Guard	Washington
7	13	213	Anthony Denman	Linebacker	Notre Dame
7	33	233	Marlon McCree	Safety	Kentucky
7	35	235	Richmond Flowers	Wide Receiver	Tennessee-Chattanooga
7	41	241	Randy Chevrier	Defensive Tackle	McGill
