Rank	City	Province	Date of Official Foundation of Municipality	2006
7	Ahvaz	Khūzestān	1925	969843
8	Qom	Qom	1926	951918
9	Kermanshah	Kermanshah	1930	784602
10	Orumieh	West Azarbaijan	1928	583255
11	Zahedan	Sistan and Baluchestan	1938	567449
12	Rasht	Gīlān	1925	557366
13	Kerman	Kermān	1921	515414
14	Hamedan	Hamadān	1911	479640
15	Arak	Markazi	1927	446760
16	Yazd	Yazd	1926	432194
17	Ardabil	Ardabil	1925	418262
18	Bandar Abbas	Hormozgān	1925	367508
19	Eslamshahr	Tehran	1978	357171
20	Qazvin	Qazvīn	1924	349821
21	Zanjan	Zanjan	1923	341801
22	Khorramabad	Lorestān	1931	328544
23	Sanandaj	Kurdistan	1928	311446
24	Gorgan	Golestān	1925	269226
25	Sari	Māzandarān	1927	259084
26	Kashan	Isfahan	1930	248789
27	Babol	Māzandarān	1956	243636
28	Golestan	Tehran	1996	231882
29	Shahr-e Qods	Tehran	1989	229354
30	Malard	Tehran	1995	228673
31	Dezful	Khūzestān	1920	228507
32	Borujerd	Lorestān	1935	227547
33	Khomeinishahr	Isfahan	1932	218737
34	Abadan	Khūzestān	1924	217988
35	Varamin	Tehran	1941	208569
36	Sabzevar	Razavi Khorasan	1936	208172
37	Najafabad	Isfahan	1931	206114
38	Nishapur	Razavi Khorasan	1931	205972
39	Amol	Māzandarān	1933	197470
40	Shahriar	Tehran	1952	189120
41	Saveh	Markazi	1931	179009
42	Khoy	West Azarbaijan	1923	178708
43	Qa'em Shahr	Māzandarān	1935	174246
44	Gharchak	Tehran	1976	173832
45	Bojnourd	North Khorasan	1931	172772
46	Sirjan	Kermān	1936	167014
47	Bushehr	Bushehr	1922	161674
48	Birjand	South Khorasan	1928	157848
49	Ilam	Īlām	1936	155289
50	Malayer	Hamadān	1934	153748
51	Bukan	West Azarbaijan	1948	149340
52	Maragheh	East Azarbaijan	1921	146405
53	Rafsanjan	Kermān	1935	136388
54	Nasimshahr	Tehran	1995	135824
55	Mahabad	West Azarbaijan	1931	133324
56	Saqqez	Kurdistan	1935	131349
57	Zabol	Sistan and Baluchestan	1928	130642
58	Gonbad-e Qabus	Golestān	1934	127167
59	Shahrood	Semnān	1925	126916
60	Shahrekord	Chaharmahal and Bakhtiari	1931	126746
61	Pakdasht	Tehran	1991	126281
62	Shahinshahr	Eşfahān	1976	126070
63	Semnan	Semnān	1925	124999
64	Khorramshahr	Khūzestān	1925	123866
65	Marvdasht	Fars	1940	123858
66	Andimeshk	Khūzestān	1956	119422
67	Torbat-e Heydarieh	Razavi Khorasan	1928	119360
68	Marand	East Azarbaijan	1929	114165
69	Miandoab	West Azarbaijan	1935	112933
70	Mahshahr	Khūzestān	1954	109927
71	Bandar-e Anzali	Gīlān	1922	109687
72	Shahreza	Eşfahān	1929	108299
73	Masjed Soleyman	Khūzestān	1959	106121
74	Izeh	Khūzestān	1958	103695
75	Jahrom	Fars	1925	103023
76	Dorood	Lorestān	1949	100528
