Week	Date	Opponent	Result	Attendance
1	September 22, 1948	Detroit Lions	W 44-7	12,941
2	October 3, 1948	Philadelphia Eagles	T 28-28	36,884
3	October 10, 1948	at Chicago Bears	L 42-21	43,707
4	October 17, 1948	at Green Bay Packers	L 16-0	25,119
5	October 24, 1948	at Detroit Lions	W 34-27	17,444
6	October 31, 1948	Chicago Cardinals	L 27-22	32,149
7	November 7, 1948	Chicago Bears	L 21-6	56,263
8	November 14, 1948	at New York Giants	W 52-37	22,766
9	November 21, 1948	at Chicago Cardinals	L 27-24	29,031
10	November 28, 1948	Green Bay Packers	W 24-10	23,874
11	December 5, 1948	at Washington Redskins	W 41-13	32,970
12	December 12, 1948	Pittsburgh Steelers	W 31-14	27,967
