Name	Number	Namesake	Albedo feature name	Area	Current map
Borealis	H-1	Borealis Planitia	Borea	North pole to 67° latitude	H-1
Victoria	H-2	Victoria Rupes	Aurora	0 to 90° longitude, 21 to 66° latitude	H-2
Shakespeare	H-3	Shakespeare crater	Caduceata	90 to 180° longitude, 21 to 66° latitude	H-3
Raditladi	H-4	Raditladi Basin	Liguria	270 to 180° longitude, 21 to 66° latitude	H-4
Hokusai	H-5	Hokusai crater	Apollonia	360 to 270° longitude, 21 to 66° latitude	H-5
Kuiper	H-6	Kuiper crater	Tricrena	0 to 72° longitude, −22 to 22° latitude	H-6
Beethoven	H-7	Beethoven crater	Solitudo Lycaonis	72 to 144° longitude, −22 to 22° latitude	H-7
Tolstoj	H-8	Tolstoj crater	Phaethontias	144 to 216° longitude, −22 to 22° latitude	H-8
Eminescu	H-9	Eminescu crater	Solitudo Criophori	216 to 288° longitude, −22 to 22° latitude	H-9
Derain	H-10	Derain crater	Pieria	288 to 360° longitude, –22 to 22° latitude	H-10
Discovery	H-11	Discovery Rupes	Solitudo Hermae Trismegisti	0 to 90° longitude, −21 to −66° latitude	H-11
Michelangelo	H-12	Michelangelo crater	Solitudo Promethei	90 to 180° longitude, −21 to -66° latitude	H-12
Neruda	H-13	Neruda crater	Solitudo Persephones	180 to 270° longitude, −21 to –66° latitude	H-13
Debussy	H-14	Debussy crater	Cyllene	270 to 360° longitude, −21 to −66° latitude	H-14
Bach	H-15	Bach crater	Australia	South pole to −67° latitude	H-15
