Name	Height	Weight	Spike	2008 club
Marcus Popp Category:Articles with hCards	m ()	kg (lb)	cm (in)	Marmi Lanza Verona
Simon Tischer Category:Articles with hCards	m ()	kg (lb)	cm (in)	Iraklis
Björn Andrae Category:Articles with hCards	m ()	kg (lb)	cm (in)	AZS Olsztyn
Mark Siebeck Category:Articles with hCards	m ()	kg (lb)	cm (in)	Halkbank Ankara
Marcus Böhme Category:Articles with hCards	m ()	kg (lb)	cm (in)	SCC Berlin
Stefan Hübner Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sisley Treviso
Jochen Schöps Category:Articles with hCards	m ()	kg (lb)	cm (in)	Iskra Odintsovo
Frank Dehne Category:Articles with hCards	m ()	kg (lb)	cm (in)	Marmi Lanza Verona
Christian Pampel Category:Articles with hCards	m ()	kg (lb)	cm (in)	Gazprom-Jugra Surgut
Ralph Bergmann Category:Articles with hCards	m ()	kg (lb)	cm (in)	Moerser SC
Robert Kromm Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sempre Volley
Thomas Kröger Category:Articles with hCards	m ()	kg (lb)	cm (in)	VfB Friedrichshafen
