Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	70	1:35:26.131	1
Rubens Barrichello	Ferrari	70	+4.696	2
Fernando Alonso	Renault	70	+44.599	5
Juan Pablo Montoya	Williams - BMW	70	+1:02.613	7
Jenson Button	BAR - Honda	70	+1:07.439	4
Takuma Sato	BAR - Honda	69	+1 Lap	3
Antônio Pizzonia	Williams - BMW	69	+1 Lap	6
Giancarlo Fisichella	Sauber - Petronas	69	+1 Lap	8
David Coulthard	McLaren - Mercedes	69	+1 Lap	12
Mark Webber	Jaguar - Cosworth	69	+1 Lap	11
Olivier Panis	Toyota	69	+1 Lap	13
Nick Heidfeld	Jordan - Ford	68	+2 Laps	16
Christian Klien	Jaguar - Cosworth	68	+2 Laps	14
Gianmaria Bruni	Minardi - Cosworth	66	+4 Laps	19
Zsolt Baumgartner	Minardi - Cosworth	65	+5 Laps	18
Giorgio Pantano	Jordan - Ford	48	Gearbox	17
Jarno Trulli	Renault	41	Engine	9
Ricardo Zonta	Toyota	31	Electronics	15
Felipe Massa	Sauber - Petronas	21	Brakes	20
Kimi Räikkönen	McLaren - Mercedes	13	Electrical	10
