Tie no	Home team	Score	Away team	Date
1	Bristol City	0–1	Torquay United	5 December 1987
2	Gillingham	2–1	Walsall	5 December 1987
3	Grimsby Town	0–0	Halifax Town	5 December 1987
Replay	Halifax Town	2–0	Grimsby Town	8 December 1987
4	Northwich Victoria	0–2	Blackpool	6 December 1987
5	Macclesfield Town	4–0	Rotherham United	6 December 1987
6	Wrexham	1–2	Bolton Wanderers	5 December 1987
7	Maidstone United	1–1	Kidderminster Harriers	5 December 1987
Replay	Kidderminster Harriers	2–2	Maidstone United	7 December 1987
Replay	Kidderminster Harriers	0–0	Maidstone United	14 December 1987
Replay	Maidstone United	2–1	Kidderminster Harriers	16 December 1987
8	Northampton Town	1–2	Brighton & Hove Albion	5 December 1987
9	Scunthorpe United	2–1	Sunderland	5 December 1987
10	Mansfield Town	4–3	Lincoln City	5 December 1987
11	Port Vale	2–0	Notts County	5 December 1987
12	Runcorn	0–1	Stockport County	5 December 1987
13	York City	1–1	Hartlepool United	5 December 1987
Replay	Hartlepool United	3–1	York City	9 December 1987
14	Wigan Athletic	1–3	Wolverhampton Wanderers	5 December 1987
15	Peterborough United	1–3	Sutton United	5 December 1987
16	Colchester United	3–2	Hereford United	5 December 1987
17	Leyton Orient	2–0	Swansea City	5 December 1987
18	Cambridge United	0–1	Yeovil Town	5 December 1987
19	VS Rugby	1–1	Bristol Rovers	5 December 1987
Replay	Bristol Rovers	4–0	VS Rugby	17 December 1987
20	Welling United	0–1	Bath City	5 December 1987
