Player	Sacks	Ints	Int Yds	Int LG	Int TD	Fumb R.	Fumb Yds	Fumb LG	Fumb TD	Fumb F.
Agustin Barrenechea (LB)	3	2	16	12	0	0	0	0	0	0
Siddeeq Shabazz (LB)	3	1	4	4	0	1	3	3	0	2
Kenny Onatolu (LB)	3	0	0	0	0	2	3	3	0	1
Jason Goss (HB)	1	5	182	94	2	3	55	34	0	0
Jordan Younger (CB)	0	1	5	5	0	0	0	0	0	0
Jonté Buhl (CB/HB)	1	4	46	27	0	0	0	0	0	0
Shannon Garrett (DB)	1	1	30	30	0	1	25	25	1	0
Keith Williams (DB)	0	1	9	9	0	1	0	0	0	1
Lenny Williams (HB)	0	2	23	16	0	0	0	0	0	3
Dario Romero (DT)	6	0	0	0	0	1	0	0	0	1
Jim Davis (DE)	6	0	0	0	0	0	0	0	0	1
Montez Murphy (DE)	3	0	0	0	0	0	0	0	0	0
Brandon Guillory (DE)	6	0	0	0	0	0	0	0	0	0
Tyler Clutts (DE)	0	0	0	0	0	1	2	2	0	0
Fred Perry (DE)	1	0	0	0	0	1	0	0	0	1
Eric Taylor (DT)	1	0	0	0	0	1	0	0	0	0
Bradley Robinson (DB)	0	3	52	30	0	0	0	0	0	0
Tristan Jackson (CB)	0	2	123	89	1	0	0	0	0	1
Joe Anoa'i (DT)	0	0	0	0	0	0	0	0	0	1
Scott Coe (LB)	0	0	0	0	0	0	0	0	0	0
Darrell Robertson (LB)	0	0	0	0	0	0	0	0	0	0
Trey Young (LB)	0	1	0	0	0	0	0	0	0	1
Kamau Peterson (SB)	0	0	0	0	0	0	0	0	0	0
Wale Dada (CB)	0	0	0	0	0	0	0	0	0	0
Calvin Armstrong (OG)	0	0	0	0	0	0	0	0	0	0
A. J. Harris (RB)	0	0	0	0	0	0	0	0	0	0
Calvin McCarty (RB)	0	0	0	0	0	0	0	0	0	0
Patrick Kabongo (OG)	0	0	0	0	0	0	0	0	0	0
Ricky Ray (QB)	0	0	0	0	0	0	0	0	0	0
John Comiskey (OG)	0	0	0	0	0	0	0	0	0	0
Kelly Campbell (WR)	0	0	0	0	0	0	0	0	0	0
Brock Ralph (WR)	0	0	0	0	0	0	0	0	0	0
Justin Cooper (DE)	0	0	0	0	0	0	0	0	0	0
Pierre-Luc Yao (RB)	0	0	0	0	0	0	0	0	0	0
Mathieu Bertrand (FB)	0	0	0	0	0	0	0	0	0	0
Andrew Nowacki (WR)	0	0	0	0	0	0	0	0	0	0
Fred Stamps (SB)	0	0	0	0	0	0	0	0	0	0
Dan Comiskey (C)	0	0	0	0	0	0	0	0	0	0
Maurice Mann (SB)	0	0	0	0	0	0	0	0	0	0
Jason Tucker (WR)	0	0	0	0	0	0	0	0	0	0
Jason Maas (QB)	0	0	0	0	0	0	0	0	0	0
Chris Ciezki (FB)	0	0	0	0	0	2	4	4	0	1
Adrian Baird (DE)	0	0	0	0	0	0	0	0	0	2
Derrick Doggett (LB)	0	0	0	0	0	0	0	0	0	0
Noel Prefontaine (K/P)	0	0	0	0	0	0	0	0	0	0
Taylor Inglis (LS)	0	0	0	0	0	0	0	0	0	0
Tim St. Pierre (LB)	0	0	0	0	0	0	0	0	0	0
Mike Maurer (FB)	0	0	0	0	0	0	0	0	0	0
J.R. LaRose (DB)	0	0	0	0	0	0	0	0	0	0
Kevin Challenger (WR)	0	0	0	0	0	0	0	0	0	0
