Team	Driver	Class	Chassis	Engine	Rounds
van Amersfoort Racing	Rahel Frey	C	Dallara F307	Volkswagen	1–8
van Amersfoort Racing	Niall Quinn	C	Dallara F307	Volkswagen	9
van Amersfoort Racing	Laurens Vanthoor	C	Dallara F307	Volkswagen	All
Ombra Racing	Matteo Chinosi	C	Dallara F307	Mugen - Honda	1–8
Ombra Racing	Philipp Eng	C	Dallara F307	Mugen - Honda	9
Ombra Racing	Federico Leo	C	Dallara F307	Mugen - Honda	All
Ombra Racing	Massimo Rossi	T	Dallara F304	Mugen - Honda	1–4
Neuhauser Racing	Gerhard Tweraser	C	Dallara F307	Mercedes HWA	All
Neuhauser Racing	Marco Oberhauser	T	Dallara F304	Opel	All
HS Technik Motorsport	Sebastian Saavedra	C	Dallara F307	Mercedes HWA	All
HS Technik Motorsport	Philipp Eng	C	Dallara F307	Mercedes HWA	1
HS Technik Motorsport	Johnny Cecotto, Jr.	C	Dallara F307	Mercedes HWA	2–9
HS Technik Motorsport	Shirley van der Lof	T	Dallara F304	OPC-Challenge	All
Swiss Racing Team	Karline Stala	C	Dallara F307	Mercedes HWA	7–9
Swiss Racing Team	Max Nilsson	C	Dallara F307	OPC-Challenge	All
Swiss Racing Team	Frédéric Vervisch	C	Dallara F307	OPC-Challenge	1–5
Swiss Racing Team	Tomi Limmonen	C	Dallara F307	OPC-Challenge	9
Team rhino’s Leipert	Federico Glorioso	C	Dallara F307	OPC-Challenge	1–6, 9
Team rhino’s Leipert	Sergey Chukanov	C	Dallara F307	OPC-Challenge	All
Team rhino’s Leipert	Luca Iannaccone	T	Dallara F304	Renault	All
Team rhino’s Leipert	Giulio Glorioso	T	Dallara F304	Opel	All
Racing Experience	Karline Stala	C	Dallara F307	Mercedes HWA	1–4
Racing Experience	Louis Wagner	C	Mygale M-07	Opel	6
Racing Experience	David Hauser	C	Dallara F307	Mercedes HWA	All
Racing Experience	Gary Hauser	C	Dallara F307	Mercedes HWA	All
Performance Racing	Rafael Suzuki	C	Dallara F307	OPC-Challenge	All
Performance Racing	Adderly Fong	C	Dallara F307	OPC-Challenge	1, 5–9
Performance Racing	Satrio Hermanto	C	Dallara F307	OPC-Challenge	4
Jo Zeller Racing	Frédéric Vervisch	C	Dallara F307	Mercedes HWA	6–8
Jo Zeller Racing	Kevin Mirocha	C	Dallara F307	Mercedes HWA	9
Franz Wöss Racing	Hamad Al Fardan	C	Dallara F307	Mercedes HWA	1–6
Franz Wöss Racing	Bernd Herndlhofer	T	Dallara F304	Opel	All
Franz Wöss Racing	Francesco Lopez	T	Dallara F304	Opel	7–9
GU-Racing Team	Jens Höing	C	Lola B06-30	Opel	1, 2
GU-Racing Team	Jens Höing	C	Dallara F307	Mercedes HWA	3, 4, 7–9
Josef Kaufmann Racing	Kevin Mirocha	C	Dallara F307	OPC-Challenge	1–8
Josef Kaufmann Racing	Esteban Gutiérrez	C	Dallara F307	OPC-Challenge	9
KFR Team F3	Dennis Swart	T	Dallara F304	OPC-Challenge	All
JMS Jenichen	Marcel Schlenker	T	Dallara F304	Opel	1–4
Auto-Häckel-Motorsport	Klaus-Dieter Häckel	T	Dallara F304	Opel	1–4
Griffith's	David Moretti	T	Dallara F304	Opel	1
