Region	Host	Venue	City	State
East	Western Kentucky University	E.A. Diddle Arena	Bowling Green	Kentucky
East	James Madison University	James Madison University Convocation Center	Harrisonburg	Virginia
East	University of Connecticut	Hugh S. Greer Field House	Storrs	Connecticut
East	Vanderbilt University	Memorial Gymnasium (Vanderbilt University)	Nashville	Tennessee
East	University of Tennessee	Thompson-Boling Arena	Knoxville	Tennessee
East	Ohio State University	St. John Arena	Columbus	Ohio
East	Long Beach State	University Gym (Gold Mine)	Long Beach	California
East	University of Virginia	University Hall (University of Virginia)	Charlottesville	Virginia
Mideast	University of Georgia	Georgia Coliseum (Stegeman Coliseum)	Athens	Georgia
Mideast	Rutgers University	Louis Brown Athletic Center	Piscataway	New Jersey
Mideast	Old Dominion University	Old Dominion University Fieldhouse	Norfolk	Virginia
Mideast	Temple University	McGonigle Hall	Philadelphia	Pennsylvania
Mideast	North Carolina State University	Reynolds Coliseum	Raleigh	North Carolina
Mideast	University of Mississippi	Tad Smith Coliseum	University	Mississippi
Mideast	Auburn University	Memorial Coliseum (Beard–Eaves–Memorial Coliseum)	Auburn	Alabama
Mideast	Clemson University	Littlejohn Coliseum	Clemson	South Carolina
Midwest	University of South Carolina	Carolina Coliseum	Columbia	South Carolina
Midwest	Oklahoma State University	Gallagher-Iba Arena	Stillwater	Oklahoma
Midwest	Illinois State University	Redbird Arena	Normal	Illinois
Midwest	Purdue University	Mackey Arena	West Lafayette	Indiana
Midwest	Louisiana Tech University	Thomas Assembly Center	Ruston	Louisiana
Midwest	University of Iowa	Carver–Hawkeye Arena	Iowa City	Indiana
Midwest	Stanford University	Maples Pavilion	Stanford	California
West	University of Montana	Dahlberg Arena	Missoula	Montana
West	University of Washington	Hec Edmundson Pavilion	Seattle	Washington
West	University of Nevada, Las Vegas	South Gym	Las Vegas	Nevada
West	Bowling Green State University	Anderson Arena	Bowling Green	Ohio
West	University of Maryland	Cole Field House	College Park	Maryland
West	University of Texas	Frank Erwin Center	Austin	Texas
West	University of Colorado	CU Events Center (Coors Events Center)	Boulder	Colorado
West	Stephen F. Austin University	William R. Johnson Coliseum	Nacogdoches	Texas
