Flight designation	Date	Duration	Pilot / co-pilot	Feathered (Fxx)
132 / PF02	05 September 2013	14 min	Stucky / Nichols	F08
131 / GF26	08 August 2013	10 min	Stucky / Mackay	F07
130 / GF25	25 July 2013	11 min, 52 sec	Stucky / Mackay	None
115 / PF01	29 April 2013	13 min	Stucky / Alsbury	None
114 / CF01	12 April 2013	10 min, 48 sec	Stucky / Alsbury	None
113 / GF24	3 April 2013	9 min	Stucky / Nichols	F06
109 / GF23	19 December 2012	13 min, 24 sec	Stucky / Alsbury	None
93 / GF22	11 August 2012	8 min, 2 sec	Stucky / Binnie	None
92 / GF21	7 August 2012	9 min, 52 sec	Siebold / Colmer	F05
91 / GF20	2 August 2012	8 min	Stucky / Nichols	F04
90 / GF19	18 July 2012	10 min, 39 sec	Siebold / Nichols	None
88 / GF18	29 June 2012	13 min	Stucky / Mackay	None
87 / GF17	26 June 2012	11 min, 22 sec	Siebold / Alsbury	None
73 / GF16	29 September 2011	7 min, 15 sec	Stucky / Nichols	F03
68 / GF15	27 June 2011	7 min, 39 sec	Siebold / Binnie	None
67 / GF14	23 June 2011	7 min, 33 sec	Stucky / Nichols	None
66 / GF13	21 June 2011	8 min, 55 sec	Siebold / Nichols	None
65 / GF12	15 June 2011	10 min, 32 sec	Stucky / Nichols	None
64 / GF11	14 June 2011	13 min, 18 sec	Siebold / Shane	None
62 / (CC12)	9 June 2011	N/A (release failure)	Siebold / Shane	None
61 / GF10	25 May 2011	10 min, 14 sec	Stucky / Binnie	F02
60 / GF09	19 May 2011	11 min, 32 sec	Siebold / Binnie	None
59 / GF08	10 May 2011	13 min, 2 sec	Stucky / Shane	None
58 / GF07	4 May 2011	11 min, 5 sec	Siebold / Nichols	F01
57 / GF06	27 April 2011	16 min, 7 sec	Stucky / Alsbury	None
56 / GF05	22 April 2011	14 min, 31 sec	Siebold / Shane	None
47 / GF04	13 January 2011	11 min, 34 sec	Stucky / Nichols	None
45 / GF03	17 November 2010	11 min, 39 sec	Siebold / Nichols	None
44 / GF02	28 October 2010	10 min, 51 sec	Stucky / Alsbury	None
41 / GF01	10 October 2010	13 min	Siebold / Alsbury	None
GFxx=Glide Flight	GFxx=Glide Flight	GFxx=Glide Flight	GFxx=Glide Flight	GFxx=Glide Flight
CCxx=Captive Carry Flight	CCxx=Captive Carry Flight	CCxx=Captive Carry Flight	CCxx=Captive Carry Flight	CCxx=Captive Carry Flight
CFxx=Cold Flow Flight	CFxx=Cold Flow Flight	CFxx=Cold Flow Flight	CFxx=Cold Flow Flight	CFxx=Cold Flow Flight
PFxx=Powered Flight	PFxx=Powered Flight	PFxx=Powered Flight	PFxx=Powered Flight	PFxx=Powered Flight
