Place	Player	Country	Score	To par
T1	Olin Browne	United States	67-71=138	–2
T1	Retief Goosen	South Africa	68-70=138	–2
T1	Jason Gore	United States	71-67=138	–2
T4	K. J. Choi	South Korea	69-70=139	–1
T4	Mark Hensby	Australia	71-68=139	–1
T6	Michael Campbell	New Zealand	71-69=140	E
T6	Sergio García	Spain	71-69=140	E
T6	Vijay Singh	Fiji	70-70=140	E
T6	Lee Westwood	England	68-72=140	E
T10	Stephen Allan	Australia	72-69-141	+1
T10	Keiichiro Fukabori	Japan	74-67=141	+1
T10	Jim Furyk	United States	71-70=141	+1
T10	Brandt Jobe	United States	68-73=141	+1
T10	Rocco Mediate	United States	67-74=141	+1
T10	Adam Scott	Australia	70-71=141	+1
T10	Tiger Woods	United States	70-71=141	+1
