Nat.	Name	Since	Goals	Ends	Transfer fee
ENG	Williams	2004	0	30 Jun 2008	Free
ENG	Woodards	2007	0	30 Jun 2010	£30,000
ENG	B. Jones	2007	0	30 Jun 2010	£65,000
ENG	Roberts	2004	7	30 Jun 2009	Youth system
ENG	Cox ( captain )	2006	1	30 Jun 2008	Free
FRA	Baudet ( VC )	2006	1	30 Jun 2009	Free
ENG	Schumacher	2007	0	30 Jun 2010	Free
NIR	O'Connor	2005	0	30 Jun 2009	Youth system
ENG	Maynard	2005	17	30 Jun 2010	Youth system
DEU	Bopp	2007	0	30 Jun 2010	Free
ENG	Rix	2001	4	30 Jun 2009	Youth system
ENG	Tomlinson	2001	0	30 Jun 2008	Youth system
ENG	McCready	2007	17	30 Jun 2009	Free
ENG	Pope	2005	1	30 Jun 2009	Free
ENG	Lowe	2006	7	30 Jun 2009	Free
ENG	Carrington	2005	0	30 Jun 2009	Youth system
ENG	Moore	2007	0	30 Jun 2010	Youth system
ENG	Miller	2006	3	30 Jun 2009	Youth system
ENG	M Bailey	2005	0	30 Jun 2008	Free
WAL	Fôn Williams	2006	0	30 Jun 2008	Youth system
ENG	Daniel	2007	0	30 Jun 2009	Free
ENG	O'Donnell	2007	1	30 Jun 2010	Free
ENG	Farquharson	2007	0	30 Jun 2008	Youth system
ENG	J Bailey	2007	0	30 Jun 2008	Youth system
ENG	Brown	2007	0	30 Jun 2008	Youth system
NGR	Abbey	2007	0	30 Jun 2008	Free
ENG	Lynch	2007	0	30 Jun 2008	Free
SCO	Boyle	2007	0	21 Feb 2008	Loan
ENG	G. M. Roberts	2007	0	12 March 2008	Loan
ENG	Lunt	2007	0	19 Mar 2008	Loan
