Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
58	March 1	Dallas	L 84–89 (OT)	Stephen Jackson (20)	Tyrus Thomas (12)	Raymond Felton (5)	Time Warner Cable Arena 15,691	28-30
59	March 3	@ Boston	L 80–104 (OT)	Tyrus Thomas (15)	Tyrus Thomas (10)	Raymond Felton (6)	TD Garden 18,624	28-31
60	March 5	L.A. Lakers	W 98–93 (OT)	Stephen Jackson (21)	Gerald Wallace (10)	D. J. Augustin , Boris Diaw (5)	Time Warner Cable Arena 19,568	29-31
61	March 6	Golden State	W 101–90 (OT)	D. J. Augustin (19)	Boris Diaw (12)	Boris Diaw (9)	Time Warner Cable Arena 19,392	30-31
62	March 9	Miami	W 83–78 (OT)	Stephen Jackson (17)	Gerald Wallace (17)	Raymond Felton (11)	Time Warner Cable Arena 18,646	31-31
63	March 10	@ Philadelphia	W 102–87 (OT)	Gerald Wallace (28)	Stephen Jackson (10)	Raymond Felton (6)	Wachovia Center 11,358	32-31
64	March 12	L.A. Clippers	W 106–98 (OT)	Stephen Jackson (24)	Tyson Chandler (9)	Raymond Felton (11)	Time Warner Cable Arena 15,835	33-31
65	March 14	@ Orlando	W 96–89 (OT)	Stephen Jackson (28)	Theo Ratliff , Tyrus Thomas (9)	Raymond Felton (7)	Amway Arena 17,461	34-31
66	March 16	@ Indiana	L 94–99 (OT)	Boris Diaw , Stephen Jackson (20)	Stephen Jackson (9)	Raymond Felton , Stephen Jackson (6)	Conseco Fieldhouse 10,850	34-32
67	March 17	Oklahoma City	W 100–92 (OT)	Stephen Jackson (20)	Tyrus Thomas (9)	Raymond Felton (7)	Time Warner Cable Arena 16,179	35-32
68	March 19	@ Atlanta	L 92–93 (OT)	Raymond Felton (25)	Gerald Wallace (16)	Boris Diaw (6)	Philips Arena 17,697	35-33
69	March 20	@ Miami	L 71–77 (OT)	Stephen Jackson (18)	Tyson Chandler (11)	Raymond Felton (5)	American Airlines Arena 18,766	35-34
70	March 23	@ Washington	W 95–86 (OT)	Gerald Wallace , Boris Diaw (17)	Gerald Wallace (19)	Raymond Felton (5)	Verizon Center 12,742	36-34
71	March 24	Minnesota	W 108–95 (OT)	Stephen Jackson (37)	Tyson Chandler (9)	Raymond Felton (8)	Time Warner Cable Arena 14,457	37-34
72	March 26	Washington	W 107–96 (OT)	Gerald Wallace (23)	Gerald Wallace (6)	Raymond Felton (11)	Time Warner Cable Arena 16,365	38-34
73	March 29	Toronto	L 101–103 (OT)	Stephen Jackson , Raymond Felton (18)	Gerald Wallace (8)	Boris Diaw , Raymond Felton (7)	Time Warner Cable Arena 14,534	38-35
