Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	22–10 (1)	Rick Hawn	KO (punches)	Bellator 95	2	1:55	Atlantic City, New Jersey , United States
Win	22–9 (1)	Edward Darby	Submission (armbar)	Gladiator Challenge: Heat Returns	1	2:10	San Jacinto, California , United States
Win	21–9 (1)	Tiger Bonds	Submission (armbar)	Gladiator Challenge: King Of The Mountain	1	1:03	San Diego, California , United States
Loss	20–9 (1)	John Gunderson	Submission (guillotine choke)	ShoFight 20	1	2:47	Springfield, Missouri , United States
Win	20–8 (1)	Thomas Denny	Decision (unanimous)	WMMA 1 - Fighting for a Better World	3	5:00	El Paso, Texas , United States
Loss	19–8 (1)	Jordan Smith	Decision (split)	Amazon Forest Combat 1	3	5:00	Manaus , Brazil
Loss	19–7 (1)	Ryan Ford	TKO (cut)	JEG - MMA Live 1	3	1:26	London, Ontario , Canada
Loss	19–6 (1)	Dennis Hallman	TKO (punches)	UFC 123: Rampage vs. Machida	1	1:47	Auburn Hills, Michigan , United States
Win	19–5 (1)	Ben Mortimer	Submission (rear-naked choke)	Impact FC 1 - The Uprising	2	4:18	Brisbane , Australia
NC	18–5 (1)	Dong Hyun Kim	No Contest	UFC 94: St-Pierre vs. Penn 2	3	5:00	Las Vegas, Nevada , United States
Loss	18–5	Thiago Alves	TKO (strikes)	UFC Fight Night 13	2	0:34	Broomfield, Colorado , United States
Win	18–4	Ryo Chonan	Decision (unanimous)	UFC 78: Validation	3	5:00	Newark, New Jersey , United States
Win	17–4	Josh Burkman	Decision (unanimous)	UFC 71: Liddell vs. Jackson	3	5:00	Las Vegas, Nevada , United States
Win	16–4	Drew Fickett	Decision (unanimous)	UFC Fight Night 7	3	5:00	San Diego, California , United States
Loss	15–4	Diego Sanchez	Decision (unanimous)	UFC Fight Night 6	3	5:00	Las Vegas, Nevada , United States
Win	15–3	Nick Thompson	Submission (strikes)	UFC 59 - Reality Check	1	4:44	Anaheim, California , United States
Win	14–3	Matt Serra	Decision (unanimous)	UFC 53: Heavy Hitters	3	5:00	Atlantic City, New Jersey , United States
Win	13–3	Chris Lytle	Decision (unanimous)	UFC 51: Super Saturday	3	5:00	Las Vegas, Nevada , United States
Win	12–3	Nick Diaz	Decision (split)	UFC 49: Unfinished Business	3	5:00	Las Vegas, Nevada , United States
Win	11–3	Shonie Carter	Decision (unanimous)	WEC 10 - Bragging Rights	3	5:00	Lemoore, California , United States
Loss	10–3	Georges St-Pierre	Decision (unanimous)	UFC 46: Supernatural	3	5:00	Las Vegas, Nevada , United States
Win	10–2	Dave Strasser	Submission (kimura)	UFC 44: Undisputed	1	3:52	Las Vegas, Nevada , United States
Win	9–2	Fernando Vasconcelos	Decision	King of the Cage 22	3	5:00	San Jacinto, California , United States
Win	8–2	Antonio McKee	Decision	Ultimate Cage Fighting 3	N/A	N/A	Hollywood, California , United States
Win	7–2	Darrell Smith	Submission	Reality Submission Fighting 3	1	0:59	Belleville, Illinois , United States
Loss	6–2	Sean Sherk	TKO (corner stoppage)	Reality Submission Fighting 2	1	16:20	Belleville, Illinois , United States
Loss	6–1	Sean Sherk	Decision	Reality Submission Fighting 1	1	18:00	Belleville, Illinois , United States
Win	6–0	Guido Jennings	Submission (choke)	Kage Kombat 16	1	6:33	California , United States
Win	5–0	Justin Bumphus	Submission	ESF - Empire One	N/A	N/A	Corona, California , United States
Win	4–0	Scott Davis	Submission (armbar)	Kage Kombat 14	1	2:16	Los Angeles, California , United States
Win	3–0	Jason Rittgers	Submission (armbar)	Kage Kombat 14	1	1:58	Los Angeles, California , United States
Win	2–0	Zach McKinney	Submission (strikes)	Kage Kombat 12	1	0:23	Los Angeles, California , United States
Win	1–0	Brian Warren	Submission (ankle lock)	Kage Kombat 12	1	0:44	Los Angeles, California , United States
