Round	Main date	Number of fixtures	Clubs	New entries this round	Prize money	Player of the Round
Extra Preliminary Round	16 August 2008	203	761 → 558	406: 356th–761st	£750	n/a
Preliminary Round	30 August 2008	166	558 → 392	129: 227th–355th	£1,500	n/a
First Round Qualifying	13 September 2008	116	392 → 276	66: 161st–226th	£3,000	Derren Ibrahim ( Dartford )
Second Round Qualifying	27 September 2008	80	276 → 196	44: 117th–160th	£4,500	Dean Lodge ( Kingstonian )
Third Round Qualifying	11 October 2008	40	196 → 156	none	£7,500	Craig Davis ( AFC Totton )
Fourth Round Qualifying	25 October 2008	32	156 → 124	24: 93rd–116th	£12,500	Sam Hatton ( AFC Wimbledon )
First Round Proper	8 November 2008	40	124 → 84	48: 45th–92nd	£20,000	Jon Adams ( AFC Telford United )
Second Round Proper	29 November 2008	20	84 → 64	none	£30,000	Lindon Meikle ( Eastwood Town )
Third Round Proper	3 January 2009	32	64 → 32	44: 1st–44th	£75,000	Nathan Tyson ( Nottingham Forest )
Fourth Round Proper	24 January 2009	16	32 → 16	none	£100,000	Scott Parker ( West Ham United )
Fifth Round Proper	14 February 2009	8	16 → 8	none	£200,000	Mikel Arteta ( Everton )
Sixth Round Proper	7 March 2009	4	8 → 4	none	£400,000	Robin van Persie ( Arsenal )
Semi-Finals	18 April 2009 19 April 2009	2	4 → 2	none	Winners: £1,000,000 Losers: £500,000	Phil Jagielka ( Everton )
