No	Player	Height	Position	Year born	Current Club
4	Miloš Teodosić	1.96	Guard	1987	FMP Železnik
5	Branko Cvetković	2.00	Forward	1984	Akasvayu Girona
6	Vuk Radivojević	1.95	Guard	1983	Alta Gestión Fuenlabrada
7	Zoran Erceg	2.11	Center	1985	FMP Železnik
8	Dragan Labović	2.10	Forward	1986	FMP Železnik
9	Stefan Marković	1.99	Guard	1988	Hemofarm
10	Marko Jarić	2.01	Guard	1978	Minnesota Timberwolves
11	Darko Miličić	2.13	Center	1985	Memphis Grizzlies
12	Nemanja Aleksandrov	2.10	Center	1987	Red Star Belgrade
13	Novica Veličković	2.05	Forward	1986	Partizan
14	Milenko Tepić	2.02	Guard	1987	Partizan
