Supply sector (% of GDP in current prices)	1993-2001	2002-2005	2006-2009	2010-2012
Agriculture, forestry, and fishing	5.4	10.3	8.7	9.8
Mining	2.0	5.9	4.4	3.6
Manufacturing	18.5	23.2	21.4	20.1
Public utilities	2.2	1.7	1.4	1.1
Construction	5.5	3.9	5.9	5.8
Commerce and tourism	17.3	14.0	14.5	15.2
Transportation and communications	8.3	8.7	8.5	8.0
Financial services	4.2	4.4	5.2	6.0
Real estate and business services	16.5	11.7	11.1	10.0
Public administration and defense	6.3	5.4	6.2	7.3
Health and education	8.4	6.9	8.5	9.1
Personal and other services	5.4	3.9	4.2	4.0
