Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 9, 1990	at Buffalo Bills	L 10–26	0–1	Ralph Wilson Stadium	78,899
2	September 16, 1990	New England Patriots	L 14–16	0–2	Hoosier Dome	49,256
3	September 23, 1990	at Houston Oilers	L 10–24	0–3	Astrodome	50,093
4	September 30, 1990	at Philadelphia Eagles	W 24–23	1–3	Veterans Stadium	62,067
5	October 7, 1990	Kansas City Chiefs	W 23–19	2–3	Hoosier Dome	54,950
6	Bye	Bye	Bye	Bye	Bye	Bye
7	October 21, 1990	Denver Broncos	L 17–24	2–4	Hoosier Dome	59,850
8	October 28, 1990	Miami Dolphins	L 7–27	2–5	Hoosier Dome	59,213
9	November 5, 1990	New York Giants	L 7–24	2–6	Hoosier Dome	58,688
10	November 11, 1990	at New England Patriots	W 13–10	3–6	Foxboro Stadium	28,924
11	November 18, 1990	New York Jets	W 17–14	4–6	Hoosier Dome	47,283
12	November 25, 1990	at Cincinnati Bengals	W 34–20	5–6	Riverfront Stadium	60,051
13	December 2, 1990	at Phoenix Cardinals	L 17–20	5–7	Sun Devil Stadium	38,043
14	December 9, 1990	Buffalo Bills	L 7–31	5–8	Hoosier Dome	53,268
15	December 16, 1990	at New York Jets	W 29–21	6–8	Giants Stadium	41,423
16	December 22, 1990	Washington Redskins	W 35–28	7–8	Hoosier Dome	58,173
17	December 30, 1990	at Miami Dolphins	L 17–23	7–9	Joe Robbie Stadium	59,547
