Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
61	March 1	@ Dallas	L 98–109 (OT)	Chris Bosh (28)	Chris Bosh (10)	Anthony Parker (7)	American Airlines Center 19,688	23–38
62	March 3	@ Houston	L 97–107 (OT)	Andrea Bargnani , Chris Bosh (25)	Shawn Marion (10)	José Calderón (16)	Toyota Center 16,291	23–39
63	March 6	Miami	L 102–108 (OT)	Chris Bosh (34)	Pops Mensah-Bonsu (10)	Anthony Parker (9)	Air Canada Centre 19,800	23–40
64	March 8	Utah	L 101–109 (OT)	Chris Bosh (30)	Chris Bosh (10)	José Calderón (11)	Air Canada Centre 18,541	23–41
65	March 11	@ Philadelphia	L 106–115 (OT)	Andrea Bargnani (21)	Pops Mensah-Bonsu (8)	José Calderón (6)	Wachovia Center 17,292	23–42
66	March 13	Detroit	L 95–99 (OT)	Chris Bosh (27)	Chris Bosh , Pops Mensah-Bonsu (10)	José Calderón (11)	Air Canada Centre 19,800	23–43
67	March 15	Indiana	W 110–87 (OT)	Andrea Bargnani (27)	Chris Bosh (13)	José Calderón (12)	Air Canada Centre 18,169	24–43
68	March 16	@ Charlotte	L 86–112 (OT)	Chris Bosh (18)	Chris Bosh (14)	José Calderón (8)	Time Warner Cable Arena 11,349	24–44
69	March 20	Charlotte	L 89–102 (OT)	Chris Bosh (35)	Andrea Bargnani , Chris Bosh (7)	José Calderón (11)	Air Canada Centre 18,641	24–45
70	March 22	L.A. Clippers	W 100–76 (OT)	Chris Bosh (16)	Chris Bosh , Shawn Marion (13)	Roko Ukić (8)	Air Canada Centre 17,610	25–45
71	March 25	Milwaukee	W 115–106 (OT)	Andrea Bargnani (23)	Chris Bosh (14)	José Calderón (11)	Air Canada Centre 17,401	26–45
72	March 27	Oklahoma City	W 112–96 (OT)	Chris Bosh (21)	Chris Bosh (13)	Roko Ukić (10)	Air Canada Centre 17,127	27–45
