Driver	Team	Laps	Time/Retired	Grid
Dario Franchitti	Team Green	65	1:58:40.726	1
Max Papis	Team Rahal	65	+2.6 secs	11
Adrián Fernández	Patrick Racing	65	+7.4 secs	7
Bryan Herta	Team Rahal	65	+10.4 secs	2
Michael Andretti	Newman-Haas Racing	65	+10.4 secs	5
Tony Kanaan	Forsythe Championship Racing	65	+11.4 secs	8
Paul Tracy	Team Green	65	+11.7 secs	4
Robby Gordon	Team Gordon	65	+19.9 secs	22
Scott Pruett	Arciero-Wells Racing	65	+21.3 secs	3
Gualter Salles	Bettenhausen Motorsports	65	+26.1 secs	27
Jan Magnussen	Patrick Racing	65	+30.7 secs	19
Michel Jourdain, Jr.	Payton/Coyne Racing	65	+33.0 secs	18
Cristiano da Matta	Arciero-Wells Racing	63	Mechanical	10
Memo Gidley	Payton/Coyne Racing	60	Mechanical	21
Andrea Montermini	All American Racers	60	Mechanical	19
Juan Pablo Montoya	Chip Ganassi Racing	48	Contact	6
Greg Moore	Forsythe Championship Racing	46	Mechanical	12
Jimmy Vasser	Chip Ganassi Racing	44	Mechanical	17
Mark Blundell	PacWest Racing	33	Contact	23
Naoki Hattori	Walker Racing	33	Contact	20
Hélio Castroneves	Hogan Racing	28	Mechanical	16
Al Unser, Jr.	Team Penske	22	Mechanical	26
Richie Hearn	Della Penna Motorsports	21	Mechanical	24
Patrick Carpentier	Forsythe Championship Racing	20	Contact	15
Christian Fittipaldi	Newman-Haas Racing	3	Fire	13
Maurício Gugelmin	PacWest Racing	1	Mechanical	9
Gil de Ferran	Walker Racing	0	Contact	14
