Team	City	State/Province	League	Est.
Anaheim Ducks	Anaheim	California	NHL	1993
Arizona Cardinals	Glendale	Arizona	NFL	1988
Arizona Diamondbacks	Phoenix	Arizona	MLB	1998
Atlanta Braves	Atlanta	Georgia	MLB	1966
Atlanta Falcons	Atlanta	Georgia	NFL	1966
Atlanta Hawks	Atlanta	Georgia	NBA	1968
Baltimore Orioles	Baltimore	Maryland	MLB	1954
Baltimore Ravens	Baltimore	Maryland	NFL	1996
BC Lions	Vancouver	British Columbia	CFL	1954
Boston Bruins	Boston	Massachusetts	NHL	1924
Boston Celtics	Boston	Massachusetts	NBA	1946
Boston Red Sox	Boston	Massachusetts	MLB	1901
Brooklyn Nets	Brooklyn	New York	NBA	1967
Buffalo Bills	Orchard Park	New York	NFL	1960
Buffalo Sabres	Buffalo	New York	NHL	1970
Calgary Flames	Calgary	Alberta	NHL	1980
Calgary Stampeders	Calgary	Alberta	CFL	1945
Carolina Hurricanes	Raleigh	North Carolina	NHL	1997
Carolina Panthers	Charlotte	North Carolina	NFL	1995
C.D. Chivas USA	Carson	California	MLS	2004
Charlotte Bobcats	Charlotte	North Carolina	NBA	2004
Chicago Bears	Chicago	Illinois	NFL	1920
Chicago Blackhawks	Chicago	Illinois	NHL	1926
Chicago Bulls	Chicago	Illinois	NBA	1966
Chicago Cubs	Chicago	Illinois	MLB	1874
Chicago Fire	Bridgeview	Illinois	MLS	1997
Chicago White Sox	Chicago	Illinois	MLB	1901
Cincinnati Bengals	Cincinnati	Ohio	NFL	1968
Cincinnati Reds	Cincinnati	Ohio	MLB	1882
Cleveland Browns	Cleveland	Ohio	NFL	1946
Cleveland Cavaliers	Cleveland	Ohio	NBA	1970
Cleveland Indians	Cleveland	Ohio	MLB	1901
Colorado Avalanche	Denver	Colorado	NHL	1995
Colorado Rapids	Commerce City	Colorado	MLS	1996
Colorado Rockies	Denver	Colorado	MLB	1993
Columbus Blue Jackets	Columbus	Ohio	NHL	2000
Columbus Crew	Columbus	Ohio	MLS	1996
FC Dallas	Frisco	Texas	MLS	1996
Dallas Cowboys	Arlington	Texas	NFL	1960
Dallas Mavericks	Dallas	Texas	NBA	1980
Dallas Stars	Dallas	Texas	NHL	1993
D.C. United	Washington	District of Columbia	MLS	1996
Denver Broncos	Denver	Colorado	NFL	1960
Denver Nuggets	Denver	Colorado	NBA	1967
Detroit Lions	Detroit	Michigan	NFL	1934
Detroit Pistons	Detroit	Michigan	NBA	1957
Detroit Red Wings	Detroit	Michigan	NHL	1926
Detroit Tigers	Detroit	Michigan	MLB	1901
Edmonton Eskimos	Edmonton	Alberta	CFL	1949
Edmonton Oilers	Edmonton	Alberta	NHL	1972
Florida Panthers	Sunrise	Florida	NHL	1993
Golden State Warriors	Oakland	California	NBA	1971
Green Bay Packers	Green Bay	Wisconsin	NFL	1921
Hamilton Tiger-Cats	Hamilton	Ontario	CFL	1950
Houston Astros	Houston	Texas	MLB	1962
Houston Dynamo	Houston	Texas	MLS	2006
Houston Rockets	Houston	Texas	NBA	1971
Houston Texans	Houston	Texas	NFL	2002
Indiana Pacers	Indianapolis	Indiana	NBA	1967
Indianapolis Colts	Indianapolis	Indiana	NFL	1984
Jacksonville Jaguars	Jacksonville	Florida	NFL	1995
Sporting Kansas City	Kansas City	Kansas	MLS	1996
Kansas City Chiefs	Kansas City	Missouri	NFL	1963
Kansas City Royals	Kansas City	Missouri	MLB	1969
Los Angeles Angels of Anaheim	Anaheim	California	MLB	1961
Los Angeles Clippers	Los Angeles	California	NBA	1984
Los Angeles Dodgers	Los Angeles	California	MLB	1958
Los Angeles Galaxy	Carson	California	MLS	1996
Los Angeles Kings	Los Angeles	California	NHL	1967
Los Angeles Lakers	Los Angeles	California	NBA	1960
Memphis Grizzlies	Memphis	Tennessee	NBA	2001
Miami Dolphins	Miami Gardens	Florida	NFL	1966
Miami Heat	Miami	Florida	NBA	1988
Miami Marlins	Miami	Florida	MLB	1993
Milwaukee Brewers	Milwaukee	Wisconsin	MLB	1970
Milwaukee Bucks	Milwaukee	Wisconsin	NBA	1968
Minnesota Timberwolves	Minneapolis	Minnesota	NBA	1989
Minnesota Twins	Minneapolis	Minnesota	MLB	1961
Minnesota Vikings	Minneapolis	Minnesota	NFL	1961
Minnesota Wild	St. Paul	Minnesota	NHL	2000
Montreal Alouettes	Montreal	Quebec	CFL	1946/1996
Montreal Canadiens	Montreal	Quebec	NHL	1909
Montreal Impact	Montreal	Quebec	MLS	2012
Nashville Predators	Nashville	Tennessee	NHL	1998
New England Patriots	Foxborough	Massachusetts	NFL	1960
New England Revolution	Foxborough	Massachusetts	MLS	1996
New Jersey Devils	Newark	New Jersey	NHL	1982
New Orleans Pelicans	New Orleans	Louisiana	NBA	2002
New Orleans Saints	New Orleans	Louisiana	NFL	1967
New York City FC	New York City	New York	MLS	2015
New York Giants	East Rutherford	New Jersey	NFL	1925
New York Islanders	Uniondale	New York	NHL	1972
New York Jets	East Rutherford	New Jersey	NFL	1960
New York Knicks	New York City	New York	NBA	1946
New York Mets	New York City	New York	MLB	1962
New York Rangers	New York City	New York	NHL	1926
New York Red Bulls	Harrison	New Jersey	MLS	1996
New York Yankees	New York City	New York	MLB	1903
Oakland Athletics	Oakland	California	MLB	1968
Oakland Raiders	Oakland	California	NFL	1960/1995
Oklahoma City Thunder	Oklahoma City	Oklahoma	NBA	2008
Orlando Magic	Orlando	Florida	NBA	1989
Ottawa RedBlacks	Ottawa	Ontario	CFL	2014
Ottawa Senators	Ottawa	Ontario	NHL	1992
Philadelphia 76ers	Philadelphia	Pennsylvania	NBA	1963
Philadelphia Eagles	Philadelphia	Pennsylvania	NFL	1933
Philadelphia Flyers	Philadelphia	Pennsylvania	NHL	1967
Philadelphia Phillies	Philadelphia	Pennsylvania	MLB	1883
Philadelphia Union	Chester	Pennsylvania	MLS	2010
Phoenix Coyotes	Glendale	Arizona	NHL	1996
Phoenix Suns	Phoenix	Arizona	NBA	1968
Pittsburgh Penguins	Pittsburgh	Pennsylvania	NHL	1967
