Week	Date	Opponent	Result	Attendance
1	September 8, 2002	at Washington Redskins	L 31-23	85,140
2	September 15, 2002	at Seattle Seahawks	W 24-13	63,104
3	September 22, 2002	San Diego Chargers	L 23-15	28,980
4	September 29, 2002	New York Giants	W 21-7	30,014
5	October 6, 2002	at Carolina Panthers	W 16-13	72,286
6	Bye	Bye	Bye	Bye
7	October 20, 2002	Dallas Cowboys	W 9-6	59,702
8	October 27, 2002	at San Francisco 49ers	L 38-28	67,173
9	November 3, 2002	St. Louis Rams	L 27-14	47,819
10	November 10, 2002	Seattle Seahawks	L 27-6	29,252
11	November 17, 2002	at Philadelphia Eagles	L 38-14	64,990
12	November 24, 2002	Oakland Raiders	L 41-20	58,814
13	December 1, 2002	at Kansas City Chiefs	L 49-0	77,809
14	December 8, 2002	Detroit Lions	W 23-20	28,640
15	December 15, 2002	at St. Louis Rams	L 30-28	65,939
16	December 21, 2002	San Francisco 49ers	L 17-14	44,051
17	December 29, 2002	at Denver Broncos	L 37-7	75,164
