Name	Rank	Tenure	Date of death	Cause of death
James R. Barton	Sheriff	—	1857-01-23	Gunfire
Charles T. Daly	Deputy	—	1857-01-23	Gunfire
William H. Little	Constable	—	1857-01-23	Gunfire
Charles C. Baker	Constable	—	1857-01-23	Gunfire
William C. Getman	Constable	1 week	1858-01-07	Gunfire
George Lee Wilson	Deputy	6 years	1897-01-08	Gunfire
Michael V. Van Vliet	Deputy	—	1918-11-20	Gunfire
Harold D. Broadwell	Deputy	—	1919-11-09	Motorcycle accident
Gordon H. Gliddon	Deputy	—	1920-11-09	Motorcycle accident
Henry J. Ronsse	Deputy	—	1922-01-02	Gunfire
William E. Funkhouser	Deputy	—	1922-05-14	Gunfire
Robery E. Magee	Deputy	—	1923-11-20	Gunfire
Frank DeWar	Chief Deputy	—	1932-01-29	Airplane accident
C.A. Vejar	Deputy	—	1932-11-12	Gunfire
John Hedge	Deputy	—	1933-09-12	Gunfire (accidental)
David Stout Larimer	Deputy	—	1941-12-24	Struck by vehicle
Fred P. Guiol	Sergeant	20 years	1946-03-10	Gunfire
Elbert Jay Hall	Deputy	7 years	1949-11-14	Car accident
Edwin M. Falkowski	Deputy	5 years, 6 months	1946-03-10	Heart attack
Vernon J. Corbell	Sergeant	9 years	1957-04-15	Airplane accident
Harold Stephen Blevins	Deputy	—	1957-10-12	Gunfire
David Alois Horr	Deputy	3 years	1958-02-09	Gunfire
Donald J. Gillis	Lieutenant	20 years	1958-09-20	Gunfire
Harold A. Reis Jr.	Deputy	2 years	1958-09-23	Car accident
Lee. E. Sawyer	Reserve Deputy	9 years	1960-10-14	Struck by vehicle
Manuel A. Ayon	Deputy	2 years	1961-01-18	Car accident
Timothy J. Harnett	Deputy	—	1961-11-22	Heart attack
William A. White	Deputy	5 years	1964-03-21	Vehicular assault
Willard R. Ballard	Sergeant	26 years	1964-05-26	Heart attack
Lloyd G. Constantine	Reserve Deputy	7 years	1964-06-24	Vehicular assault
John M. Slobojan	Deputy	5 years	1964-11-07	Heart attack
Ronald E. Ludlow	Deputy	—	1965-08-13	Gunfire
Michael V. Wigderson	Reserve Deputy	—	1967-03-20	Gunfire (accidental)
James W. Waygood	Deputy	—	1967-10-11	Car accident
Robert K. Schnur	Deputy	14 years	1968-09-30	Helicopter accident
Gary E. McCullah	Deputy	6 years	1968-09-30	Helicopter accident
Charles D. Rea	Deputy	11 months	1969-01-26	Drowned
Lionel W. Dashley	Reserve Deputy	6 years	1969-09-01	Motorcycle accident
Gordon D. Erickson	Deputy	—	1970-04-30	Fall
Louis Carl Wallace	Deputy	—	1970-12-08	Gunfire
Gary David Saunders	Deputy	—	1971-05-22	Gunfire
Barry J. Hoffman	Deputy	2 years	1971-08-30	Gunfire
Charles O. Ley	Deputy	—	1972-05-24	Car accident
Joseph R. Herrera	Deputy	—	1972-10-03	Struck by vehicle
Donald William Schneider	Detective	—	1973-01-04	Gunfire
Carl Eugene Wilson	Detective	—	1973-01-04	Gunfire
David E. Andrews	Deputy	4 years	1973-12-12	Gunfire
James Foote	Deputy	6 years	1974-10-04	Car accident
Theodor A. Abreu	Deputy	—	1974-10-23	Car accident
Darden Hollis	Deputy	15 years	1975-01-01	Gunfire
Edward John Russell	Sergeant	10 years	1977-01-15	Car accident
Lee Lewis	Deputy	6 years	1977-01-15	Car accident
Didier M. Hurdle	Deputy	—	1977-11-25	Gunfire
Gregory L. Low	Deputy	8 years	1977-11-25	Car accident
Charles Plumleigh	Reserve Deputy	—	1978-03-01	Car accident
Arthur E. Pelino	Deputy	21 years	1978-03-19	Gunfire
Thomas H. Pohlman	Deputy	—	1978-04-18	Gunfire
Walter W. Hannan Jr.	Deputy	—	1978-05-03	Car accident
George R. Barthel	Deputy	—	1979-04-19	Gunfire
Jack Don Williams	Deputy	9 years	1978-05-03	Gunfire
Constance Ellen Worland	Deputy	4 years	1981-05-02	Gunfire (accidental)
Kenneth D. Ell	Deputy	14 years	1982-01-19	Gunfire (accidental)
Lawrence Lavieri	Deputy	16 years	1983-03-19	Gunfire
Larrell K. Smith	Sergeant	—	1983-04-16	Gunfire
James P. Clark	Deputy	3 years	1983-06-16	Car accident
Lloyd Beauford Brooks	Reserve Captain	19 years	1984-09-01	Struck by vehicle
David Lance Holguin	Deputy	—	1984-09-05	Gunfire
George L. Arthur	Sergeant	—	1985-06-01	Gunfire
Raul Adauto	Deputy	17 years	1986-04-05	Duty related injury
Charles Robert Anderson	Deputy	11 years	1987-01-24	Gunfire
Jack B. Miller	Deputy	12 years	1988-01-09	Gunfire
James D. McSweeney	Deputy	12 years	1988-10-24	Helicopter accident
Roy Allen Chester	Deputy	12 years	1988-10-24	Helicopter accident
Rosemary Iris May	Deputy	21 years	1989-09-26	Car accident
Nelson Henry Yamamoto	Deputy	3 years	1992-03-31	Gunfire
Richard B. Hammack	Deputy	—	1992-05-11	Gunfire
Stephen Wayne Blair	Deputy	—	1995-05-12	Gunfire
Jimmie Richard Henry	Deputy	18 years	1995-05-12	Duty related injury
Antranik Geuvjehizian	Deputy	—	1995-07-19	Gunfire
Shayne Daniel York	Deputy	2 years	1997-08-16	Gunfire
Michael Lee Hoenig	Deputy	10 years	1997-10-30	Gunfire
Brandan Garrett Hinkle	Deputy	11 years	2001-02-14	Motorcycle accident
Hagop Jake Kuredjian	Deputy	17 years	2001-08-31	Gunfire
David William March	Deputy	7 years	2002-04-29	Gunfire
David Alan Powell	Deputy	18 years	2002-11-30	Gunfire
Stephen Douglas Sorensen	Deputy	12 years	2003-08-02	Gunfire
Michael Richard Arruda	Deputy	13 years	2004-06-15	Gunfire (accidental)
James Phillip Tutino	Deputy	23 years	2005-01-26	Train crash
Jerry Ortiz	Deputy	15 years	2005-06-24	Gunfire
Pierre Walter Bain	Deputy	14 years	2006-03-21	Motorcycle accident
Maria Cecilia Rosa	Deputy	6 years	2006-03-28	Gunfire
David Stan Piquette	Deputy	10 years	2006-07-07	Car accident
Raul V. Gama	Deputy	20 years	2007-05-01	Struck by vehicle
Juan A. Escalante	Deputy	2 years, 6 months	2008-08-02	Gunfire
Randy Jay Hamson	Deputy	5 years	2008-10-24	Struck by vehicle
Charlene M. Rottler	Deputy	–	2010-01-03	Car accident
David L. Nelson	Deputy	22 years	2011-08-11	Car accident
