Date	H/A/N	Opponent	Score	Record
December 1	H	Houston Rockets	116-106	9-14
December 3	A	Buffalo Braves	90-91	9-15
December 5	H	Seattle SuperSonics	91-99	9-16
December 7	A	Chicago Bulls	99-115	9-17
December 8	A	Boston Celtics	107-126	9-18
December 10	H	Detroit Pistons	112-111	10-18
December 11	A	Cincinnati Royals	95-103	10-19
December 12	H	New York Knicks	92-103	10-20
December 14	A	Baltimore Bullets	88-85	11-20
December 17	H	Boston Celtics	109-115	11-21
December 18	A	New York Knicks	84-104	11-22
December 19	H	Chicago Bulls	101-119	11-23
December 22	A	Detroit Pistons	94-104	11-24
December 23	H	Atlanta Hawks	115-110	12-24
December 26	H	Baltimore Bullets	108-102	13-24
December 28	H	Portland Trail Blazers	112-111	14-24
December 29	N	Philadelphia 76ers	103-102	15-24
