Class	Type	Fleet numbers	Quantity made	Date made	1958 CIÉ	1958 UTA	Date withdrawn
PP	4-4-0	12, 25, 42–46, 50, 70–71, 74–77, 106–107, 129	17	1896–1911	5	7	1957–1963
PG	0-6-0	10–11, 78, 100–103	7	1899–1904	0	7	1960–1964
Q	4-4-0	120–125, 130–136	13	1899–1904	5	4	1951–1963
QG	0-6-0	152–155	4	1903–1904	4	0	1962–1963
P	4-4-0	88–89, 104–105	4	1904–1906	1	0	1956–1960
QL	4-4-0	24, 113–114, 126–128, 156–157	8	1904–1910	0	3	1932–1960
QGT	0-6-2T	98–99	2	1905	1	0	1957–1960
LQG	0-6-0	78, 108, 110–111, 158–164	11	1906–1908	6	5	1958–1963
RT	0-6-4T	22–23, 166–167	4	1908–1911	0	4	1958–1963
NQG	0-6-0	9, 38–39, 109, 112	5	1911	2	3	1958–1963
NLQG	0-6-0	165	1	1911	0	1	1961
QGT2	0-6-2T	168–169	2	1911	—	—	1957
S	4-4-0	170–174	5	1913	3	2	1964–1965
SG	0-6-0	37, 40–41, 137–138	5	1913	3	2	1961–1965
