Rider	Manufacturer	Laps	Time	Grid
Álvaro Bautista	Aprilia	26	43:15.831	11
Yuki Takahashi	Honda	26	+2.088	4
Héctor Barberá	Aprilia	26	+3.752	1
Roberto Locatelli	Gilera	26	+7.472	14
Julián Simón	KTM	26	+10.862	7
Marco Simoncelli	Gilera	26	+21.180	2
Thomas Lüthi	Aprilia	26	+29.440	6
Ratthapark Wilairot	Honda	26	+33.882	15
Lukáš Pešek	Aprilia	26	+35.051	13
Karel Abraham	Aprilia	26	+45.405	18
Fabrizio Lai	Gilera	26	+47.260	16
Federico Sandi	Aprilia	26	+1:10.664	20
Manuel Hernández	Aprilia	26	+1:10.882	21
Toni Wirsing	Honda	26	+1:33.332	22
Simone Grotzkyj	Gilera	26	+1 Lap	23
Doni Tata Pradita	Yamaha	25	+1 Lap	24
Aleix Espargaró	Aprilia	19	Retirement	3
Eugene Laverty	Aprilia	14	Accident	17
Imre Tóth	Aprilia	12	Retirement	25
Mattia Pasini	Aprilia	11	Accident	9
Hiroshi Aoyama	KTM	3	Collision	5
Mika Kallio	KTM	3	Collision	10
Héctor Faubel	Aprilia	2	Accident	8
Alex Debón	Aprilia	2	Accident	12
Alex Baldolini	Aprilia	1	Accident	19
