Year	Event	Skip	Third	Second	Lead
1972	Women's Juniors	Judy Jamieson	Debbie Grant	Lynn Britt	Denise Allan
1972	British Consols	Eldon Coombe	Keith Forgues	Jim Patrick	Barry Provost
1979	Men's Masters	Ted Root	Ralph Smith	Bob Martin	Elwyn MacDonald
1985	Intermediate Men's	Russ Taylor	Bruce Lonsbery	Al Reed	Jack Casserly
1990	Men's Masters	Ken Hart	Roy James	Cec Morris	Rae Brown
1993	Silver Tankard	Brad Shinn Ian MacAulay	John Theriault Bill Gamble	Dave Korim Richard Groulx	Geoff Colley Barry Conrad
1993	Challenge	Terry Clark	Jack Casserly	Wayne Lennon	Ian MacAulay
1995	Men's Colts	Ken Campbell	John Galligan	James Sutherland	Steve O'Brien
1997	Men's Masters	Rod Matheson	Jack Ross	Bob McKenzie	Gord Cummings
1997	Senior Mixed	Paul Engelbrecht	Bonnie Matheson	Rod Matheson	Darlene Engelrecht
1997	Men's Juniors	John Morris	Craig Savill	Matt St. Louis	Mark Homan
1998	Women's Juniors	Jenn Hanna	Amanda Vanderspank	Julie Colquhoun	Stephanie Hanna
1998	Men's Juniors	John Morris	Craig Savill	Andy Ormsby	Brent Laing
1999	Women's Trophy	Laurie Shields	Barb Wheatley	Andrea Leganchuk	Sandra Ribey
1999	Men's Juniors	John Morris	Craig Savill	Jason Young	Brent Laing
2000	Senior Mixed	Reg Plaster	Donna Lamoureux	Randy Garland	Dianne Sullivan
2002	Women's Trophy	Eveline Shaw	Laurie Shields	Andrea Leganchuk	Sue Kollar
2002	Women's Tankard	Eveline Shaw Joyce Potter	Laurie Shields Muriel Potter	Margaret Pross Janelle Sadler	Sue Kollar Faye Linseman
2003	Senior Mixed	Randy Garland	Eveline Shaw	Roger Shaw	Margaret Pross
2003	Senior Women's	Joyce Potter	Muriel Potter	Janelle Sadler	Faye Linseman
2005	Men's Masters	Rod Matheson	Eldon Coombe	Ron Brown	Georges Bourgon
2005	Scott Tournament of Hearts	Jenn Hanna	Pascale Letendre	Dawn Askin	Stephanie Hanna
2009	Women's Juniors	Rachel Homan	Emma Miskew	Alison Kreviazuk	Lynn Kreviazuk
2010	Women's Juniors	Rachel Homan	Emma Miskew	Laura Crocker	Lynn Kreviazuk
2011	Men's Juniors	Mathew Camm	Scott Howard	David Mathers	Andrew Hamilton
2011	Scotties Tournament of Hearts	Rachel Homan	Emma Miskew	Alison Kreviazuk	Lisa Weagle
2011	Men's Masters	Layne Noble	Rick Bachand	Randy Garland	Cal Hegge
2012	Men's Seniors	Brian Lewis	Jeff McCrady	Steve Doty	Graham Sinclair
2012	Men's Grand Masters	Rod Matheson	Eldon Coombe	Jamie Angus	John Lockett
2013	Scotties Tournament of Hearts	Rachel Homan	Emma Miskew	Alison Kreviazuk	Lisa Weagle
