Driver	Constructor	Laps	Time/Retired	Grid
Piero Taruffi	Ferrari	62	3:01:46.1	2
Rudi Fischer	Ferrari	62	+2:37.2	5
Jean Behra	Gordini	61	+1 lap	7
Ken Wharton	Frazer Nash - Bristol	60	+2 laps	13
Alan Brown	Cooper - Bristol	59	+3 laps	15
Toulo de Graffenried	Maserati - Platé	58	+4 laps	8
Peter Hirt	Ferrari	56	+6 laps	19
Eric Brandon	Cooper - Bristol	55	+7 laps	17
Prince Bira	Simca-Gordini	52	Engine	11
André Simon Nino Farina	Ferrari	51	Magneto	4
Harry Schell	Maserati - Platé	31	Engine	18
Stirling Moss	HWM - Alta	24	Withdrew	9
Lance Macklin	HWM - Alta	24	Withdrew	12
Robert Manzon	Gordini	20	Radiator	3
Nino Farina	Ferrari	16	Magneto	1
Peter Collins	HWM - Alta	12	Halfshaft	6
George Abecassis	HWM - Alta	12	Halfshaft	10
Hans Stuck	AFM - Küchen	4	Engine	14
Toni Ulmen	Veritas	4	Fuel leak	16
Louis Rosier	Ferrari	2	Accident	20
Max de Terra	Simca-Gordini	1	Magneto	21
Maurice Trintignant	Ferrari	0	Engine	22
