Series #	Episode #	Title	Directed by	Written by	Original air date
11	1	"The Prophet"	Michael Robison	Eric Tuchman	June11,2007
12	2	"The Homecoming"	Pat Williams	Tommy Thompson	June18,2007
13	3	"The List is Life"	Pat Williams	Julie Plec	June25,2007
14	4	"Balancing Act"	Michael Robison	Steven Lilien & Bryan Wynbrandt	July2,2007
15	5	"Come to Your Senses"	Morgan Beggs	Chad Fiveash & James Patrick Stoteraux	July9,2007
16	6	"Does Kyle Dream of Electric Fish?"	Chris Grismer	R.P. Gaborno & Chris Hollier	July16,2007
17	7	"Free To Be You and Me"	Guy Norman Bee	Julie Plec	July23,2007
18	8	"What's the Frequency, Kyle?"	Chris Grismer	Steven Lilien & Bryan Wynbrandt	July30,2007
19	9	"Ghost in the Machine"	Guy Norman Bee	Eric Bress & J. Mackye Gruber	August6,2007
20	10	"House of Cards"	Pat Williams	Chad Fiveash & James Patrick Stoteraux	August13,2007
21	11	"Hands on a Hybrid"	Rachel Talalay	Bryan M. Holdman	August20,2007
22	12	"Lockdown"	Michael Robison	Charley Dane & Julie Plec	August27,2007
23	13	"Leap of Faith"	Rachel Talalay	Eric Tuchman	September3,2007
24	14	"To C.I.R., With Love"	Guy Norman Bee	Chad Fiveash & James Patrick Stoteraux	January14,2008
25	15	"The Future's So Bright, I Gotta Wear Shades"	Chris Grismer	Steven Lilien & Bryan Wynbrandt	January21,2008
26	16	"Great Expectations"	John Kretchmer	Bryan M. Holdman	January28,2008
27	17	"Grounded"	Michael DeCarlo	R.P. Gaborno & Chris Hollier	February4,2008
28	18	"Between The Rack and a Hard Place"	James Head	Chad Fiveash & James Patrick Stoteraux	February11,2008
29	19	"First Cut Is the Deepest"	Michael Robison	David A. Weinstein	February18,2008
30	20	"Primary Colors"	Peter DeLuise	Bryan M. Holdman	February25,2008
31	21	"Grey Matters"	Michael Robison	Eric Tuchman	March3,2008
32	22	"Hello..."	Peter DeLuise	Michael Berns	March10,2008
