#	District	Province	Region	UBIGEO	Elevation (m)
1	Suykutambo	Espinar	Cusco	80807	4801
2	Condoroma	Espinar	Cusco	80802	4737
3	San Antonio	Puno	Puno	210113	4700
4	Ananea	San Antonio de Putina	Puno	211002	4660
5	Morococha	Yauli	Junín	120805	4550
6	San Antonio de Chuca	Caylloma	Arequipa	40514	4525
7	Santa Ana	Castrovirreyna	Huancavelica	90411	4473
8	Marcapomacocha	Yauli	Junín	120804	4415
9	Capazo	El Collao	Puno	210502	4400
10	Paratia	Lampa	Puno	210707	4390
11	Cojata	Huancané	Puno	210602	4355
12	Yanacancha	Pasco	Pasco	190113	4350
13	Chaupimarca	Pasco	Pasco	190101	4338
14	Macusani	Carabaya	Puno	210301	4315
15	Huayllay	Pasco	Pasco	190104	4310
16	Caylloma	Caylloma	Arequipa	40505	4310
17	Vilavila	Lampa	Puno	210710	4300
18	Tanta	Yauyos	Lima	151028	4278
19	Tinyahuarco	Pasco	Pasco	190111	4275
