Driver	Starts	Finishes	Wins	Podiums	Stage wins	Points
Sébastien Loeb	12	11	7	9	88	93
Mikko Hirvonen	12	11	4	11	51	92
Daniel Sordo	12	12	0	7	18	64
Jari-Matti Latvala	12	10	1	4	40	41
Petter Solberg	10	7	0	2	10	35
Henning Solberg	12	12	0	2	8	33
Matthew Wilson	12	11	0	0	2	28
Sébastien Ogier	12	8	0	1	13	24
Federico Villagra	8	7	0	0	0	16
Conrad Rautenbach	12	7	0	0	0	9
Mads Østberg	7	4	0	0	1	7
Khalid al-Qassimi	9	9	0	0	0	6
Chris Atkinson	1	1	0	0	0	4
Evgeny Novikov	8	4	0	0	4	4
Matti Rantanen	1	1	0	0	0	4
Krzysztof Hołowczyc	1	1	0	0	0	3
Jari Ketomaa	1	1	0	0	0	3
Nasser Al-Attiyah	6	5	0	0	0	1
Urmo Aava	3	3	0	0	0	1
Lambros Athanassoulas	2	2	0	0	0	1
