Pick	Player	Position	Nationality	NHL team	College/junior/club team
109	Andy Berenzweig	Defence	United States	New York Islanders (from Ottawa)	University of Michigan (NCAA)
110	Peter Cava	Centre	Canada	Toronto Maple Leafs (from San Jose)	Sault Ste. Marie Greyhounds (OHL)
111	Brandon Sugden	Right Wing	Canada	Toronto Maple Leafs (from New York Islanders)	London Knights (OHL)
112	Ryan Christie	Left Wing	Canada	Dallas Stars (from Los Angeles)	Owen Sound Platers (OHL)
113	Evgeny Tsybuk	Defence	Russia	Dallas Stars	Yaroslavl Torpedo (Russia)
114	Brian Urick	Right Wing	United States	Edmonton Oilers	Notre Dame (NCAA)
115	Alexei Tezikov	Defence	Russia	Buffalo Sabres	HC Lada Togliatti (Russia)
116	Mark McMahon	Defence	Canada	Hartford Whalers	Kitchener Rangers (OHL)
117	Brendan Buckley	Defence	United States	Mighty Ducks of Anaheim	Boston College (NCAA)
118	Glenn Crawford	Centre	Canada	New Jersey Devils	Windsor Spitfires (OHL)
119	Richard Lintner	Defence	Slovakia	Winnipeg Jets	Trenčín Jr. (Slovakia)
120	Jesse Black	Defence	Canada	Los Angeles Kings (compensatory)	Niagara Falls Thunder (OHL)
121	Tyler Prosofsky	Centre	Canada	Vancouver Canucks	Kelowna Rockets (WHL)
122	Josef Straka	Centre	Czech Republic	Calgary Flames	HC Litvínov (Czech Republic)
123	Peter Hogan	Defence	Canada	Los Angeles Kings (from St. Louis)	Oshawa Generals (OHL)
124	Per-Ragnar Bergkvist	Goaltender	Sweden	Philadelphia Flyers (from Toronto)	Leksands IF (Sweden)
125	Jason Robinson	Defence	Canada	Tampa Bay Lightning	Niagara Falls Thunder (OHL)
126	Matt Lahey	Left Wing	Canada	Washington Capitals	Peterborough Petes (OHL)
127	Daniel Archambault	Defence	Canada	Montreal Canadiens	Val-d'Or Foreurs (QMJHL)
128	Petr Sachl	Centre	Czech Republic	New York Islanders (from Boston)	HC České Budějovice (Czech Republic)
129	Andrew Long	Centre	Canada	Florida Panthers	Guelph Storm (OHL)
130	Andy Johnson	Defence	Canada	Chicago Blackhawks	Peterborough Petes (OHL)
131	Colin Pepperall	Left Wing	Canada	New York Rangers	Niagara Falls Thunder (OHL)
132	Elias Abrahamsson	Defence	Sweden	Boston Bruins (from Pittsburgh via San Jose)	Halifax Mooseheads (QMJHL)
133	Jesse Boulerice	Right Wing	United States	Philadelphia Flyers	Detroit Whalers (OHL)
134	Luke Curtin	Left Wing	United States	Colorado Avalanche	Kelowna Rockets (WHL)
