Game	December	Opponent	Score	Record	Points
24	1	@ Winnipeg Jets	1–2	19–5–0	38
25	3	@ Detroit Red Wings	1–4	19–6–0	38
26	5	Toronto Maple Leafs	3–6	19–7–0	38
27	7	New York Rangers	4–0	20–7–0	40
28	8	@ New York Rangers	1–3	20–8–0	40
29	10	Boston Bruins	7–4	21–8–0	42
30	12	Montreal Canadiens	6–3	22–8–0	44
31	14	@ Detroit Red Wings	6–4	23–8–0	46
32	17	@ New Jersey Devils	4–7	23–9–0	46
33	19	New Jersey Devils	6–3	24–9–0	48
34	21	@ Pittsburgh Penguins	4–2	25–9–0	50
35	22	Pittsburgh Penguins	3–2 OT	26–9–0	52
36	27	@ Vancouver Canucks	6–1	27–9–0	54
37	28	@ Calgary Flames	6–5	28–9–0	56
38	31	@ Edmonton Oilers	3–4	28–10–0	56
