Driver	Constructor	Laps	Time/Retired	Grid
Kimi Räikkönen	McLaren - Mercedes	66	1:27:16.830	1
Fernando Alonso	Renault	66	+27.652	3
Jarno Trulli	Toyota	66	+45.947	5
Ralf Schumacher	Toyota	66	+46.719	4
Giancarlo Fisichella	Renault	66	+57.936	6
Mark Webber	Williams - BMW	66	+1:08.542	2
Juan Pablo Montoya	McLaren - Mercedes	65	+1 lap	7
David Coulthard	Red Bull - Cosworth	65	+1 lap	9
Rubens Barrichello	Ferrari	65	+1 lap	16
Nick Heidfeld	Williams - BMW	65	+1 lap	17
Felipe Massa	Sauber - Petronas	63	Wheel rim	10
Tiago Monteiro	Jordan - Toyota	63	+3 laps	18
Narain Karthikeyan	Jordan - Toyota	63	+3 laps	13
Jacques Villeneuve	Sauber - Petronas	51	Engine	12
Michael Schumacher	Ferrari	46	Puncture	8
Christijan Albers	Minardi - Cosworth	19	Gearbox	14
Patrick Friesacher	Minardi - Cosworth	11	Spun off	15
Vitantonio Liuzzi	Red Bull - Cosworth	9	Spun off	11
