Character	Indianapolis Concerts	Sarasota	Broadway	Brighton Cast
Sydney Carton	Alex Santoriello	James Barbour	James Barbour	James Barbour
Charles Darnay	Andrew Verala	Derek Keeling	Aaron Lazar	Simon Thomas
Lucie Manette	Christiane Noll	Jessica Rush	Brandi Burkhardt	Brandi Burkhardt
Dr. Alexandre Manette	Timothy Shew	Alex Santoriello	Gregg Edelman	J. Mark McVey
Jerry Cruncher	Craig Bennett	Craig Bennett	Craig Bennett	Howard Samuels
Ernest Defarge	J. Mark McVey	Joe Cassidy	Kevin Earley	Kevin Earley
Jarvis Lorry	(Not Applicable)	Michael Hayward-Jones	Michael Hayward-Jones	(Not Applicable)
The Seamstress	Bryce Dallas Howard	Alexandria Howley	Mackenzie Mauzy	Kelley Dorney
Miss Pross	(Not Applicable)	Katherine McGrath	Katherine McGrath	Rosemary Leach
Marquis St. Evremonde	(Not Applicable)	Les Minski	Les Minski	Paul Baker
Madame Therese Defarge	Mary Gutzi	Natalie Toro	Natalie Toro	Natalie Toro
John Barsad	Nick Wyman	Nick Wyman	Nick Wyman	Ed Dixon
Little Lucie	Samantha Sharpe	Catherine Missal	Catherine Missal	Catherine Missal
