Week	Date	Opponent	Result	Venue	Attendance
1	September 19, 1965	at Pittsburgh Steelers	W 41-9	Pitt Stadium	38,383
2	September 26, 1965	Baltimore Colts	W 20-17	Milwaukee County Stadium	48,130
3	October 3, 1965	Chicago Bears	W 23-14	Lambeau Field	50,852
4	October 10, 1965	San Francisco 49ers	W 27-10	Lambeau Field	50,852
5	October 17, 1965	at Detroit Lions	W 31-21	Tiger Stadium	56,712
6	October 24, 1965	Dallas Cowboys	W 13-3	Milwaukee County Stadium	48,311
7	October 31, 1965	at Chicago Bears	L 31-10	Wrigley Field	45,664
8	November 7, 1965	Detroit Lions	L 12-7	Lambeau Field	50,852
9	November 14, 1965	Los Angeles Rams	W 6-3	Milwaukee County Stadium	48,485
10	November 21, 1965	at Minnesota Vikings	W 38-13	Metropolitan Stadium	47,426
11	November 28, 1965	at Los Angeles Rams	L 21-10	Los Angeles Memorial Coliseum	39,733
12	December 5, 1965	Minnesota Vikings	W 24-19	Lambeau Field	50,852
13	December 12, 1965	at Baltimore Colts	W 42-27	Memorial Stadium	60,238
14	December 19, 1965	at San Francisco 49ers	T 24-24	Kezar Stadium	45,710
