Name	Position	Period	Appearances¹	Goals¹	Nationality²
Mamadou Sakho *	Defender	2006 –	201	7	France
Daniel Sanchez	Forward	1981 – 1982	22	2	France
Liazid Sandjak	Defender	1986 – 1992	84	8	Algeria
Younousse Sankharé	Midfielder	2007 – 2011	47	1	France
Jean-Luc Sassus	Defender	1992 – 1994	76	4	France
Pascal Schmit	Midfielder	1972 – 1973	18	0	France
Jean-Philippe Séchet	Midfielder	1994 – 1995	34	2	France
Patrice Ségura	Forward	1984 – 1985	4	1	France
Sergei Semak	Midfielder	2004 – 2006	31	1	Russia
Oumar Sène	Midfielder	1985 – 1992	200	18	Senegal
Stéphane Sessègnon	Midfielder	2008 – 2011	105	10	Benin
Thiago Silva	Defender	2012	34	3	Brazil
Amara Simba	Forward	1986 – 1993	109	22	France
Marco Simone	Forward	1997 – 1999	79	32	Italy
Salvatore Sirigu	Goalkeeper	2011 –	84	0	Italy
Mohamed Sissoko	Midfielder	2011 –	37	2	Mali
Daniel Solas	Defender	1971 – 1972	27	0	France
Juan Pablo Sorín	Midfielder	2003 – 2004	26	2	Argentina
Souza	Midfielder	2008	17	0	Brazil
Mordechai Spiegler	Midfielder	1973 – 1974	21	10	Israel
Ivica Šurjak	Forward	1981 – 1982	40	12	Yugoslavia
